disasterNumber,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,state,declarationDate,disasterType,incidentType,title,incidentBeginDate,incidentEndDate,disasterCloseOutDate,declaredCountyArea,placeCode,hash,lastRefresh
115,0,1,1,1,IL,1961-05-27T00:00:00 +00:00,DR,Flood,FLOODS & TORNADOES,1961-05-27T00:00:00 +00:00,1961-05-27T00:00:00 +00:00,1963-10-14T00:00:00 +00:00,,,9cd00a749158f95077a8b74edfc4833c,2015-08-04T01:43:17 +00:00
78,0,1,1,1,IL,1957-06-22T00:00:00 +00:00,DR,Flood,FLOODS,1957-06-22T00:00:00 +00:00,1957-06-22T00:00:00 +00:00,1959-03-01T00:00:00 +00:00,,,4ea87225ea5a7e3e8cf33c038cb087e3,2015-08-04T01:43:17 +00:00
262,0,1,1,0,IL,1969-06-06T00:00:00 +00:00,DR,Flood,FLOODING,1969-06-06T00:00:00 +00:00,1969-06-06T00:00:00 +00:00,1972-04-25T00:00:00 +00:00,Pike (County),99149,f0e0ac27aaa16a92750bc738327344d4,2016-08-30T15:07:51 +00:00
262,0,1,1,0,IL,1969-06-06T00:00:00 +00:00,DR,Flood,FLOODING,1969-06-06T00:00:00 +00:00,1969-06-06T00:00:00 +00:00,1972-04-25T00:00:00 +00:00,Mercer (County),99131,0638ec8faade048f38c5d68c776dcae3,2016-08-30T15:07:54 +00:00
262,0,1,1,0,IL,1969-06-06T00:00:00 +00:00,DR,Flood,FLOODING,1969-06-06T00:00:00 +00:00,1969-06-06T00:00:00 +00:00,1972-04-25T00:00:00 +00:00,Whiteside (County),99195,167a4e9fe33c295f91a9d8806c50bc4e,2016-08-30T15:07:52 +00:00
262,0,1,1,0,IL,1969-06-06T00:00:00 +00:00,DR,Flood,FLOODING,1969-06-06T00:00:00 +00:00,1969-06-06T00:00:00 +00:00,1972-04-25T00:00:00 +00:00,Rock Island (County),99161,90ca3cac46e785ad61736ef584fcdfc7,2016-08-30T15:07:52 +00:00
262,0,1,1,0,IL,1969-06-06T00:00:00 +00:00,DR,Flood,FLOODING,1969-06-06T00:00:00 +00:00,1969-06-06T00:00:00 +00:00,1972-04-25T00:00:00 +00:00,Calhoun (County),99013,1dbd86f70cde2d1137da90228015dd17,2016-08-30T15:07:54 +00:00
262,0,1,1,0,IL,1969-06-06T00:00:00 +00:00,DR,Flood,FLOODING,1969-06-06T00:00:00 +00:00,1969-06-06T00:00:00 +00:00,1972-04-25T00:00:00 +00:00,Adams (County),99001,0a5f779c34bbcee4b5192738b4451f4a,2016-08-30T15:07:53 +00:00
262,0,1,1,0,IL,1969-06-06T00:00:00 +00:00,DR,Flood,FLOODING,1969-06-06T00:00:00 +00:00,1969-06-06T00:00:00 +00:00,1972-04-25T00:00:00 +00:00,Henderson (County),99071,d665cecdf2aec4ceedebf4a752e26feb,2016-08-30T15:07:52 +00:00
262,0,1,1,0,IL,1969-06-06T00:00:00 +00:00,DR,Flood,FLOODING,1969-06-06T00:00:00 +00:00,1969-06-06T00:00:00 +00:00,1972-04-25T00:00:00 +00:00,Carroll (County),99015,7f4864d91636efa0bb40f9517630ef5f,2016-08-30T15:07:51 +00:00
