disasterNumber,incidentType,state,county,city,zipCode,validRegistrations,averageFemaInspectedDamage,totalInspected,totalDamage,noFemaInspectedDamage,femaInspectedDamageBetween1And10000,femaInspectedDamageBetween10001And20000,femaInspectedDamageBetween20001And30000,femaInspectedDamageGreaterThan30000,approvedForFemaAssistance,totalApprovedIhpAmount,repairReplaceAmount,rentalAmount,otherNeedsAmount,approvedBetween1And10000,approvedBetween10001And25000,approvedBetween25001AndMax,totalMaxGrants,hash,lastRefresh
1935,Severe Storm(s),IL,Cook (County),BARTLETT,60133,1,6024,1,6024,0,1,0,0,0,1,6024,5565,0,459,1,0,0,0,a95a6ad3fab63e55cd9b357bce5677b0,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),BLUE ISLAND,60406,302,1532,293,448908,37,256,0,0,0,190,512054,356465,124239,31350,184,4,2,1,53c2edbb5d7c0d859ce9f5d7f99a9d10,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),BURR RIDGE,60527,5,4695,5,23476,0,4,0,1,0,5,26120,21050,2480,2590,4,1,0,0,e5633eaf08a3b5862b35eb104c111f03,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),CAULMET CITY,60409,1,313,1,313,0,1,0,0,0,1,233,0,0,233,1,0,0,0,8cdaa614b3b5b9ff5f4a83d6957e0838,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),CHIAGO,60637,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,e695139db13f5e3ba025c875dfafa7b2,2014-11-20T15:20:20 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGI,60641,1,1829,1,1829,0,1,0,0,0,0,0,0,0,0,0,0,0,0,155f92c09a904ffeb04efc36c64617ec,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),CHGO,60628,1,2634,1,2634,0,1,0,0,0,1,1888,1888,0,0,1,0,0,0,78be3ad69148dc33a6cde1c94cbd3900,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60468,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,c22c84732b8eeead7c4917322d61239f,2014-11-20T15:20:20 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60613,5,4376,5,21878,1,3,1,0,0,3,20496,20496,0,0,2,1,0,0,52ea04f86159e6434c4db44fd8cb4bae,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60623,2,3266,1903,6214789,99,1,98,7,0,1651,6277579,4879791,738895,658892,1,102,9,5,5d1b2c7e7f2660c39b7218553d700dba,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60634,447,2648,429,1135840,52,365,12,0,0,360,990997,910794,22904,57299,354,6,0,0,9990a1775689c4c0633ba7275c3a1572,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60645,26,1982,23,45582,2,21,0,0,0,20,44065,35782,7448,834,20,0,0,0,79d6fdae12acfb1b1e7b6f3b8ca99167,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60657,6,1548,6,9287,2,4,0,0,0,3,10364,7235,2480,650,3,0,0,0,f35f39cb4618283aef3dd177ad8953fa,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60805,2,1624,2,3247,0,2,0,0,0,2,2097,2097,0,0,2,0,0,0,c789375de20268f29aa91ddc1704e582,2014-12-12T01:20:24 +00:00
