disasterNumber,incidentType,state,county,city,zipCode,validRegistrations,totalInspected,totalInspectedWithNoDamage,totalWithModerateDamage,totalWithMajorDamage,totalWithSubstantialDamage,approvedForFemaAssistance,totalApprovedIhpAmount,repairReplaceAmount,rentalAmount,otherNeedsAmount,approvedBetween1And10000,approvedBetween10001And25000,approvedBetween25001AndMax,totalMaxGrants,hash,lastRefresh
1935,Severe Storm(s),IL,Cook (County),BROOKFIELD,60513,29,28,28,0,0,0,14,54698,0,37078,17620,13,1,0,0,e939ce76a82945a1b4d0ecc593834bc7,2014-11-20T15:20:38 +00:00
1935,Severe Storm(s),IL,Cook (County),BELLWOOD,60153,1,1,1,0,0,0,1,7594,0,2030,5564,1,0,0,0,bb53044f3f1daf6c877324c6c5ba185e,2014-11-20T15:20:38 +00:00
1935,Severe Storm(s),IL,Cook (County),CHCAGO,60651,1,1,1,0,0,0,1,459,0,0,459,1,0,0,0,0c2848a1b3d37ca216e40d7266d70007,2014-11-20T15:20:38 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60641,124,121,121,0,0,0,70,384907,0,220266,164641,60,9,1,1,2c28933c6fcfbd4a651ce9948460ccfd,2014-11-20T15:20:38 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60609,939,903,903,0,0,0,551,1935289,0,1189333,745956,514,32,5,1,45fd7be16116532bcb712b0196adfbd2,2014-11-20T15:20:38 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60827,148,141,141,0,0,0,59,115366,0,55140,60226,57,2,0,0,7001b15646afa6bc79214521253ef5c5,2014-11-20T15:20:38 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60630,11,11,11,0,0,0,1,2234,0,0,2234,1,0,0,0,23567187d20f65ae2ba4bb0849a91e0a,2014-11-20T15:20:38 +00:00
1935,Severe Storm(s),IL,Cook (County),CRETE,60417,1,1,1,0,0,0,1,2030,0,2030,0,1,0,0,0,8852f4b9a5e5bc5cf2bb0e0b0cac65c8,2014-11-20T15:20:38 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60620,2,2295,2295,0,0,0,1352,4051524,3959,3017694,1029872,1,88,14,1,ef7408caa592738a361025b6465f3ae4,2014-11-20T15:20:38 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICOAG,60623,1,1,1,0,0,0,1,3612,0,2030,1582,1,0,0,0,a3214f0e375fc4407fe7a5f2b5d95869,2014-11-20T15:20:38 +00:00
1935,Severe Storm(s),IL,Cook (County),EVANSTON,60201,16,16,16,0,0,0,5,33826,0,28805,5021,4,0,1,0,2f592779cdc563506aa9577fcba6b353,2014-11-20T15:20:38 +00:00
1935,Severe Storm(s),IL,Cook (County),CHGOHTS,60411,1,1,1,0,0,0,1,5942,0,1806,4136,1,0,0,0,854e0a46b8d04f4260c27477c5504d08,2014-11-20T15:20:38 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60653,381,369,369,0,0,0,258,977976,1081,561664,415230,236,19,3,0,f6a00614ccc39b43c5a049e47c4dcc09,2014-11-20T15:20:38 +00:00
1935,Severe Storm(s),IL,Cook (County),HANOVER PARK,60133,15,14,14,0,0,0,6,4954,0,2484,2470,6,0,0,0,241c587118809970a2920bbfa37a7696,2014-11-20T15:20:38 +00:00
1935,Severe Storm(s),IL,Cook (County),HINES,60141,4,3,3,0,0,0,2,10074,0,3612,6462,2,0,0,0,06e3f4aa8f324d535891ec637dd35be6,2014-11-20T15:20:38 +00:00
1935,Severe Storm(s),IL,Cook (County),LAGRANGE,60525,1,1,1,0,0,0,1,61,0,0,61,1,0,0,0,1524f4df42fb0f3ffc4db07a25977056,2014-11-20T15:20:38 +00:00
1935,Severe Storm(s),IL,Cook (County),LYONS,60534,23,20,20,0,0,0,9,29014,0,19290,9724,8,1,0,0,288983d8d13757b896486c3941531c06,2014-11-20T15:20:38 +00:00
1935,Severe Storm(s),IL,Cook (County),MELROSE PARK,60165,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,009b0a1e1cca6d89d1ef6c8832182791,2014-11-20T15:20:38 +00:00
1935,Severe Storm(s),IL,Cook (County),OAKPARK,60302,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8975c3a5024d245256570dccf864b60d,2014-11-20T15:20:38 +00:00
1935,Severe Storm(s),IL,Cook (County),NORTHLAKE,60164,14,13,13,0,0,0,7,12937,0,5286,7651,7,0,0,0,2f26b4fffdb6e49820f8196c5919d08e,2014-11-20T15:20:38 +00:00
1935,Severe Storm(s),IL,Cook (County),PARKFOREST,60466,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,970b0ecc7d02e5699267e1f975b5f8a7,2014-11-20T15:20:38 +00:00
1935,Severe Storm(s),IL,Cook (County),RIVER GROVE,60171,17,9,9,0,0,0,6,6732,0,1806,4926,6,0,0,0,6bb905bfa1463b5ad13014f870723120,2014-11-20T15:20:38 +00:00
1935,Severe Storm(s),IL,Cook (County),SCHILLER PARK,60176,6,6,6,0,0,0,4,16676,0,6092,10584,4,0,0,0,469c921a68b02a050bd1a31d000c375b,2014-11-20T15:20:38 +00:00
1935,Severe Storm(s),IL,Cook (County),SUMMIT,60501,34,33,33,0,0,0,25,116453,0,66242,50211,23,2,0,0,d2b0884c9e88071f3a19ed59e9340588,2014-11-20T15:20:38 +00:00
1935,Severe Storm(s),IL,Cook (County),WILMETTE,60091,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9e40251e6399e07e6f9b9eeedc0638be,2014-11-20T15:20:38 +00:00
1935,Severe Storm(s),IL,Cook (County),BELLWOOD,60104,852,774,774,0,0,0,518,2310133,231,1394922,914981,467,42,9,1,e98ab7aff447e9fa80ae472377db1872,2014-11-20T15:20:38 +00:00
1935,Severe Storm(s),IL,Cook (County),BROADVIEW,60153,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,05e1546cfc9fc7a194730165b7520737,2014-11-20T15:20:38 +00:00
1935,Severe Storm(s),IL,Cook (County),CCICERO,60804,1,1,1,0,0,0,1,5639,0,0,5639,1,0,0,0,3dca30933267fbc37572af4ed47b43c9,2014-11-20T15:20:38 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60607,137,109,109,0,0,0,45,71960,0,66403,5557,45,0,0,0,36eaa3f62af37f4b4223adaccaea4f29,2014-11-20T15:20:38 +00:00
1935,Severe Storm(s),IL,Cook (County),CHGO,60643,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ffa4450f8bdba61742d9311c5570a954,2014-11-20T15:20:38 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60618,146,138,138,0,0,0,96,430544,0,159926,270618,90,6,0,0,5e876281763cfb087ee6c2b17f7e71a9,2014-11-20T15:20:38 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60628,2,2609,2609,0,0,0,1499,4965772,505,3889962,1075306,1,114,17,6,ba83c8b9495905b3af8dba99d30c9e57,2014-11-20T15:20:38 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60639,1,1128,1128,0,0,0,799,3664617,0,1816432,1848185,725,71,3,1,a93287574d9324cc0fcf969e8c755ebf,2014-11-20T15:20:38 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60651,2,2298,2298,0,0,0,1585,7675425,2583,4498713,3174129,1,183,15,2,b249c2a82ca9f4bfd8c17a940c791ece,2014-11-20T15:20:38 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60714,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,780c0616fb0253df0a78f35685983b60,2014-11-20T15:20:38 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAO,60623,1,1,1,0,0,0,1,2484,0,2484,0,1,0,0,0,2aed461aa856d6925d6c5265394d436e,2014-11-20T15:20:38 +00:00
1935,Severe Storm(s),IL,Cook (County),COUNTTRY CLUB HILLS,60478,1,1,1,0,0,0,1,900,0,0,900,1,0,0,0,0630f46b4d3f550dbf64ec6617850da4,2014-11-20T15:20:38 +00:00
1935,Severe Storm(s),IL,Cook (County),ELMWOOD PARK,60707,70,69,69,0,0,0,47,190047,0,68604,121443,44,3,0,0,10d845151c93b42fe59eaa39d5f45d8f,2014-11-20T15:20:38 +00:00
1935,Severe Storm(s),IL,Cook (County),GLENVIEW,60025,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3c45d44638d0d2937da12fd0159b3b99,2014-11-20T15:20:38 +00:00
1935,Severe Storm(s),IL,Cook (County),HILLSIDE,60126,1,1,1,0,0,0,1,3269,0,0,3269,1,0,0,0,f937f78ad80dc3b8aef2f50ee936200f,2014-11-20T15:20:38 +00:00
1935,Severe Storm(s),IL,Cook (County),OAK PARK,60304,39,38,38,0,0,0,14,34451,0,22978,11473,14,0,0,0,7bb6ebc4a1eed0099381a4d84117a3da,2014-11-20T15:20:38 +00:00
1935,Severe Storm(s),IL,Cook (County),WESTERN SPRINGS,60558,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,7e6cf60c6065745c8d61a924007e9f71,2014-11-20T15:20:38 +00:00
1935,Severe Storm(s),IL,Cook (County),LOMBARD,60148,1,1,1,0,0,0,1,4650,0,0,4650,1,0,0,0,c82c3deae715a58467e03c92388ab525,2014-11-20T15:20:38 +00:00
1935,Severe Storm(s),IL,Cook (County),RIVERDALE,60827,362,357,357,0,0,0,176,640516,0,513587,126929,158,15,3,0,a4ba2b50e7f149eb0076f26c037f781b,2014-11-20T15:20:38 +00:00
1935,Severe Storm(s),IL,Cook (County),MELROSE PARK,60160,300,285,285,0,0,0,202,1030100,0,408304,621796,189,9,4,1,2d8b08d2ecef83287f2f4834c8cfc36a,2014-11-20T15:20:38 +00:00
1935,Severe Storm(s),IL,Cook (County),SCHAUMBURG,60194,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2912feb1d08f5095d30c49db4c9d603d,2014-11-20T15:20:38 +00:00
1935,Severe Storm(s),IL,Cook (County),NORTHBROOK,60062,1,1,1,0,0,0,1,17384,0,17384,0,0,1,0,0,6f90365cfad0a0fb524ecb2347626e47,2014-11-20T15:20:38 +00:00
1935,Severe Storm(s),IL,Cook (County),STONE PARK,60165,84,76,76,0,0,0,59,335525,0,132332,203193,54,5,0,0,d8c8596032adda4a35848fddc5c30a6d,2014-11-20T15:20:38 +00:00
1935,Severe Storm(s),IL,Cook (County),JUSTICE,60458,44,28,28,0,0,0,17,29783,0,6774,23009,17,0,0,0,30209da366993061fe79a7d0b898ab26,2014-11-20T15:20:38 +00:00
1935,Severe Storm(s),IL,Cook (County),PARK FOREST,60466,191,182,182,0,0,0,62,247514,0,210970,36544,53,8,1,0,a6d1e78c3af45bca38e85eb18c989d34,2014-11-20T15:20:38 +00:00
1935,Severe Storm(s),IL,Cook (County),BELLWOOD,60140,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,881af1d8f4e46602fc5808579e65f4ff,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60619,1,1852,1852,0,0,0,1179,4516371,4147,3434177,1078046,1,115,11,0,611a05aaf5ccb3a6e8ac3f858c6d57ae,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICGO,60612,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,57eab2bff449f15caa0bf678991088f2,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),LA GRANGE,60525,8,8,8,0,0,0,7,19274,0,12800,6474,7,0,0,0,db2a2fe3e48e32723278b036afa7f65d,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHGO,60651,1,1,1,0,0,0,1,344,0,0,344,1,0,0,0,81c8117e95ef4f20c9c66f2510d85568,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60652,287,280,280,0,0,0,177,603449,1328,418922,183199,163,8,6,2,8d64cfeaeec9d4becfe9b188cd84e715,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),GLENWOOD,60425,49,48,48,0,0,0,28,119103,0,102459,16644,25,3,0,0,cccc51e4ec61f967cfc8f6e95b1fbbda,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CENTRAL STICKNEY,60638,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04e06b8025194101815350c1a0b77379,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60640,8,8,8,0,0,0,2,1325,0,0,1325,2,0,0,0,769b2609d272e84472f0634e226092bd,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),ELMWOODPARK,60707,2,2,2,0,0,0,2,9478,0,0,9478,2,0,0,0,8f8a80921ced5fc44d6f8ce64bfeb4b1,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),MELROSE PARK,60164,21,19,19,0,0,0,15,52137,0,19890,32247,15,0,0,0,5426fc13604d4691f893d945358df056,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),BROADVIEW,60155,254,214,214,0,0,0,140,551879,0,389392,162487,127,11,2,0,653fdb06b9617e99922829c089b373bc,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60629,2,1961,1961,0,0,0,1376,5850192,0,2903103,2947090,1,96,7,2,cc04945a7976942bec868aec82f09fc6,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CRESTWOOD,60445,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2a5e89208e49892073eebf8b95966f0e,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),LYNWOOD,60411,45,45,45,0,0,0,26,165149,0,150463,14686,19,5,2,0,e976298a085121fb94585a92c50ecbb0,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60608,292,275,275,0,0,0,190,751387,0,368177,383210,178,11,1,0,b2324f7a1b93a94ab9450fc0631c40bb,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60804,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,370b27f1458a1662dce72bfb81a208b7,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),HILLSIDE,60162,178,155,155,0,0,0,94,400272,0,188162,212110,89,5,0,0,660a802834f209c5e9da6e5e913e772b,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),OAK PARK,60634,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4ec1c085cdc373803fd684fa1f0eac54,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),WILLOW SPRINGS,60480,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2a1d1760e35683053994510aa6f32673,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),NORTH CHICAGO,60064,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5d1285bebb5dded07d4817a905648d37,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),STREAMWOOD,60107,11,11,11,0,0,0,5,31110,0,23974,7136,4,1,0,0,f622fe999af35d868e500ae2da095550,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),PARK FOREST,60484,4,4,4,0,0,0,2,592,0,0,592,2,0,0,0,c702e02afa13de40790a05c66515325b,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),S CHICAGO HGTS,60411,1,1,1,0,0,0,1,9611,0,8126,1485,1,0,0,0,0c1648ef329910d9bf394bc0606df700,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),RIVER FOREST,60305,13,11,11,0,0,0,3,2689,0,2030,659,3,0,0,0,1e896f8db2088d2a77811497e37979a9,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),ALSIP,60803,36,33,33,0,0,0,5,6880,0,4960,1920,5,0,0,0,2bb8f80d73b6f1d7bb2f2d3a34fe6f3c,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),BERKELEY,60162,1,1,1,0,0,0,1,459,0,0,459,1,0,0,0,06f7af4e12d8ff39acaa72260c060cfc,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHCIAGO,60639,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0e2605f2e5b547ea1f48cdbd731a5c44,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),BURHAM,60633,1,1,1,0,0,0,1,1808,0,1808,0,1,0,0,0,9964abfb152d50e9e3610b9e3a8080f7,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60104,1,1,1,0,0,0,1,580,0,0,580,1,0,0,0,a6c3e9ce1d8c520cc3eeda5fc6d74622,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60612,554,532,532,0,0,0,331,1321332,0,833474,487858,304,22,5,2,b607452512927927585de2fcb73a7366,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60632,917,883,883,0,0,0,687,3603782,0,1381014,2222768,624,59,4,1,4323816c922246870ce3f055e30ecb8f,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60622,73,66,66,0,0,0,37,106568,0,49336,57232,35,2,0,0,6bd29530278b97a923f1bea04e4b2b9b,2014-11-20T15:20:39 +00:00
