disasterNumber,incidentType,applicantId,state,applicantName,addressLine1,addressLine2,city,zipCode,hash,lastRefresh
1278,Severe Storm(s),085-0020E-00,Illinois,JO-CARROLL ELECTRIC COOPERATIVE,,,,,0f50aaab48b75fffc38a364d28b51a1f,2014-11-23T01:12:52 +00:00
1278,Severe Storm(s),085-00B3E-00,Illinois,SCALES MOUND COMMUNITY UNIT SCHOOL DISTRICT 211,,,,,e7ca25223bef88b4d80a07f65a9f363e,2014-11-23T01:12:52 +00:00
1278,Severe Storm(s),085-48359-00,Illinois,"MENOMINEE, VILLAGE OF",,,,,0acb98871bf2c2b2ed8f164fb7a9fa7b,2014-11-23T01:12:52 +00:00
1278,Severe Storm(s),085-00B27-00,Illinois,MENOMINEE TOWNSHIP ROAD DISTRICT,,,,,c3e2d8993f24bbced059a7b466758a35,2014-11-23T01:12:52 +00:00
1278,Severe Storm(s),085-00B44-00,Illinois,WOODBINE TOWNSHIP ROAD DISTRICT,,,,,b0a25ed1022ef24ae17ecddf0257c045,2014-11-23T01:12:52 +00:00
1278,Severe Storm(s),085-00B26-00,Illinois,THOMPSON TOWNSHIP ROAD DISTRICT,,,,,3e03076a29c66295dec5e90028e08cbb,2014-11-23T01:12:53 +00:00
1278,Severe Storm(s),085-00B41-00,Illinois,SCALES MOUND TOWNSHIP ROAD AND BRIDGE,,,,,395146a24f912ccd403444cfdba902ec,2014-11-23T01:12:53 +00:00
1278,Severe Storm(s),085-67925-00,Illinois,"SCALES MOUND,  VILLAGE OF",,,,,e81bd3813250bc7f30061fceab11f5e4,2014-11-23T01:12:53 +00:00
1278,Severe Storm(s),085-00B2A-00,Illinois,APPLE RIVER TOWNSHIP ROAD DISTRICT,,,,,5878769744acb71080e30458c8fb0c82,2014-11-23T01:12:53 +00:00
1278,Severe Storm(s),085-01673-00,Illinois,"APPLE RIVER, VILLAGE OF",,,,,15a9e555d79c41b4b56a7cb4e1169ca6,2014-11-23T01:12:53 +00:00
1278,Severe Storm(s),085-00B28-00,Illinois,VINEGAR HILL TOWNSHIP ROAD DISTRICT,,,,,59fbb608289eee19a35f58c4e6d87546,2014-11-23T01:12:53 +00:00
1278,Severe Storm(s),085-00B49-00,Illinois,RAWLINS ROAD DISTRICT,,,,,a149b68278cb9893189fde0d688c197c,2014-11-23T01:12:53 +00:00
1278,Severe Storm(s),085-00B3A-00,Illinois,DUNLEITH TOWNSHIP ROAD DISTRICT,,,,,ae707550073fbf84270b8aa9dd02d836,2014-11-23T01:12:53 +00:00
1278,Severe Storm(s),085-07D36-00,Illinois,SAINT MARY'S  SCHOOL,,,,,f5dfee3c2f54b9546bb2fc240dbfe47c,2014-11-23T01:12:53 +00:00
1278,Severe Storm(s),085-00B36-00,Illinois,DUNLEITH PARK DISTRICT,,,,,65f3e6057ec87f33d5b4af35ed04340f,2014-11-23T01:12:53 +00:00
