disasterNumber,incidentType,state,county,city,zipCode,totalValidRegistrations,validCallCenterRegistrations,validWebRegistrations,validMobileRegistrations,ihpReferrals,ihpEligible,ihpAmount,haReferrals,haEligible,haAmount,onaReferrals,onaEligible,onaAmount,hash,lastRefresh
4116,Flood,IL,Cook (County),BEDFORD PARK,60501,1,0,1,0,1,0,0,1,0,0,0,0,0,bd7e19a0c8dac7872a90d5a28bf03735,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),BROOKFIELD,60513,425,121,285,19,403,338,1147160.02,390,327,1063029.85,317,95,84130.17,1a4c6b1bed0af9764a881a4c5b47ea0a,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),CHGO,60644,1,0,1,0,1,0,0,1,0,0,0,0,0,7b94c8cc82eaebb8a56647758ae70fb8,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),CHICAGO,60614,7,2,5,0,7,3,2936.2,6,1,888.26,7,2,2047.94,0649825eca55c3ae07678b2afd7ea2d9,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),CHICAGO,60624,1175,753,349,73,1148,692,2255862.26,1107,553,1650428.98,990,396,605433.28,c6e8298ee56b528cf98adb00bcac7639,2015-03-02T19:03:16 +00:00
4116,Flood,IL,Cook (County),CHICAGO,60636,2571,1,584,135,2508,1539,3448754.61,2423,1237,2751573.28,2068,710,697181.33,dbf38848961f88ee280ab76643e34bc7,2015-03-02T19:03:16 +00:00
4116,Flood,IL,Cook (County),CHICAGO,60659,154,75,70,9,146,103,169962.97,140,97,152721,110,31,17241.97,4b8febc4bdd1081d41d68e6afdcfb8d5,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),CHICAGO,60646,360,103,244,13,349,271,442442.45,341,262,415927.23,260,41,26515.22,5c2bf06029d8c68a4291a41d4da12d89,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),CHICAGO RIDGE,60415,15,9,5,1,15,11,44354.96,15,8,39315.88,9,4,5039.08,79e50beb9ebdf87f7e2940b78ca69368,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),DESPLAINES,60016,1,0,1,0,1,1,727.98,1,1,727.98,0,0,0,b4a38f92b409081b23a5e028e14a5d6e,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),EVANSTON,60201,158,67,83,8,146,101,166716.09,141,92,140612.76,115,30,26103.33,d89ff889ec448d9fbcb801dc9ce873b1,2014-11-23T02:38:03 +00:00
