disasterNumber,incidentType,state,county,city,zipCode,validRegistrations,averageFemaInspectedDamage,totalInspected,totalDamage,noFemaInspectedDamage,femaInspectedDamageBetween1And10000,femaInspectedDamageBetween10001And20000,femaInspectedDamageBetween20001And30000,femaInspectedDamageGreaterThan30000,approvedForFemaAssistance,totalApprovedIhpAmount,repairReplaceAmount,rentalAmount,otherNeedsAmount,approvedBetween1And10000,approvedBetween10001And25000,approvedBetween25001AndMax,totalMaxGrants,hash,lastRefresh,declarationDate,title,incidentBeginDate,incidentEndDate
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60637.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,e695139db13f5e3ba025c875dfafa7b2,2014-11-20T15:20:20 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60641.0,1.0,1829.0,1.0,1829.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155f92c09a904ffeb04efc36c64617ec,2014-12-12T01:20:24 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60628.0,1.0,2634.0,1.0,2634.0,0.0,1.0,0.0,0.0,0.0,1.0,1888.0,1888.0,0.0,0.0,1.0,0.0,0.0,0.0,78be3ad69148dc33a6cde1c94cbd3900,2014-12-12T01:20:24 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60468.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c22c84732b8eeead7c4917322d61239f,2014-11-20T15:20:20 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60613.0,5.0,4376.0,5.0,21878.0,1.0,3.0,1.0,0.0,0.0,3.0,20496.0,20496.0,0.0,0.0,2.0,1.0,0.0,0.0,52ea04f86159e6434c4db44fd8cb4bae,2014-12-12T01:20:24 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60623.0,2.0,3266.0,1903.0,6214789.0,99.0,1.0,98.0,7.0,0.0,1651.0,6277579.0,4879791.0,738895.0,658892.0,1.0,102.0,9.0,5.0,5d1b2c7e7f2660c39b7218553d700dba,2014-12-12T01:20:24 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60634.0,447.0,2648.0,429.0,1135840.0,52.0,365.0,12.0,0.0,0.0,360.0,990997.0,910794.0,22904.0,57299.0,354.0,6.0,0.0,0.0,9990a1775689c4c0633ba7275c3a1572,2014-12-12T01:20:24 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60645.0,26.0,1982.0,23.0,45582.0,2.0,21.0,0.0,0.0,0.0,20.0,44065.0,35782.0,7448.0,834.0,20.0,0.0,0.0,0.0,79d6fdae12acfb1b1e7b6f3b8ca99167,2014-12-12T01:20:24 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60657.0,6.0,1548.0,6.0,9287.0,2.0,4.0,0.0,0.0,0.0,3.0,10364.0,7235.0,2480.0,650.0,3.0,0.0,0.0,0.0,f35f39cb4618283aef3dd177ad8953fa,2014-12-12T01:20:24 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60805.0,2.0,1624.0,2.0,3247.0,0.0,2.0,0.0,0.0,0.0,2.0,2097.0,2097.0,0.0,0.0,2.0,0.0,0.0,0.0,c789375de20268f29aa91ddc1704e582,2014-12-12T01:20:24 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60652.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0ff7188cad177e06b9211ce67ac254e1,2014-11-20T15:20:20 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60618.0,1.0,1406.0,1.0,1406.0,0.0,1.0,0.0,0.0,0.0,1.0,1172.0,972.0,0.0,200.0,1.0,0.0,0.0,0.0,8d6adf07f0bd7d2f918f0d271b2c23b7,2014-12-12T01:20:24 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60628.0,1.0,1837.0,1.0,1837.0,0.0,1.0,0.0,0.0,0.0,1.0,1837.0,1837.0,0.0,0.0,1.0,0.0,0.0,0.0,6e9d073e537f9f265cceb21d238cccbe,2014-12-12T01:20:24 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60632.0,1.0,4378.0,1.0,4378.0,0.0,1.0,0.0,0.0,0.0,1.0,3024.0,3024.0,0.0,0.0,1.0,0.0,0.0,0.0,a6d6ab7f4b737a0d52a81465b14025c2,2014-12-12T01:20:24 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60619.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38e73063f6880829f29d2dbb67a5861c,2014-11-20T15:20:20 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60651.0,1.0,393.0,1.0,393.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146d2adf227ae7511e40d71db7099574,2014-12-12T01:20:24 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60605.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82dfb5822fa9e1af25008e75a594ac02,2014-11-20T15:20:20 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60615.0,194.0,2005.0,178.0,356857.0,13.0,163.0,2.0,0.0,0.0,119.0,311799.0,268959.0,33034.0,9806.0,117.0,2.0,0.0,0.0,354f0eaf2f44a504da5112f21a222f7b,2014-12-12T01:20:24 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60625.0,28.0,3348.0,26.0,87044.0,3.0,21.0,2.0,0.0,0.0,22.0,73507.0,64475.0,8122.0,910.0,20.0,2.0,0.0,0.0,1bbc4f67c8db2f81e00ff193890a87e9,2014-12-12T01:20:24 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60647.0,346.0,3053.0,308.0,940346.0,33.0,258.0,12.0,3.0,2.0,257.0,850981.0,747077.0,33026.0,70878.0,241.0,14.0,2.0,1.0,48e5dde2d64b789ef0b3731f37ac0ff0,2014-12-12T01:20:24 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60637.0,650.0,2473.0,601.0,1486089.0,42.0,542.0,17.0,0.0,0.0,512.0,1698393.0,1213336.0,366946.0,118111.0,482.0,24.0,6.0,6.0,c6be9f0ed399c4ef31882c84a4f24a87,2014-12-12T01:20:24 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60660.0,3.0,1932.0,3.0,5795.0,0.0,3.0,0.0,0.0,0.0,3.0,5880.0,4927.0,0.0,953.0,3.0,0.0,0.0,0.0,87803620275138c70882685d56614aa5,2014-12-12T01:20:24 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,66017.0,1.0,1769.0,1.0,1769.0,0.0,1.0,0.0,0.0,0.0,1.0,2116.0,1882.0,0.0,234.0,1.0,0.0,0.0,0.0,5444db92af4b709a693c97c75b9307c7,2014-12-12T01:20:24 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60652.0,1.0,2632.0,1.0,2632.0,0.0,1.0,0.0,0.0,0.0,1.0,2124.0,1780.0,0.0,344.0,1.0,0.0,0.0,0.0,f438ae33f0495cecd8120729a0c6fad3,2014-12-12T01:20:24 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60620.0,1.0,1734.0,1.0,1734.0,0.0,1.0,0.0,0.0,0.0,1.0,1734.0,1734.0,0.0,0.0,1.0,0.0,0.0,0.0,fbd257826586348ab6f494aebad77d70,2014-12-12T01:20:24 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60619.0,1.0,2300.0,1.0,2300.0,0.0,1.0,0.0,0.0,0.0,1.0,2300.0,1833.0,0.0,467.0,1.0,0.0,0.0,0.0,75d9fbc3a7c1f4e934d7c723446a0166,2014-12-12T01:20:24 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60621.0,1.0,399.0,1.0,399.0,0.0,1.0,0.0,0.0,0.0,1.0,399.0,399.0,0.0,0.0,1.0,0.0,0.0,0.0,b5763633e69f93a50510dc8084489553,2014-12-12T01:20:24 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60620.0,1.0,6458.0,1.0,6458.0,0.0,1.0,0.0,0.0,0.0,1.0,6458.0,5869.0,0.0,589.0,1.0,0.0,0.0,0.0,9bf929d9cc052e217f7eb5ddae6c970f,2014-12-12T01:20:24 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60652.0,1.0,3099.0,1.0,3099.0,0.0,1.0,0.0,0.0,0.0,1.0,2220.0,2220.0,0.0,0.0,1.0,0.0,0.0,0.0,3b764d2db44aed6b02d2ef3915068eaa,2014-12-12T01:20:24 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60411.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,809271ec3764aacf17bee8e41ec2db7e,2014-11-20T15:20:20 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60612.0,371.0,2401.0,334.0,802064.0,25.0,299.0,9.0,0.0,1.0,261.0,895057.0,656818.0,178251.0,59989.0,243.0,15.0,3.0,2.0,01fd413f87af8a17b9d17518e80ea709,2014-12-12T01:20:24 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60622.0,91.0,2413.0,81.0,195416.0,15.0,62.0,4.0,0.0,0.0,50.0,174385.0,157354.0,8122.0,8909.0,46.0,4.0,0.0,0.0,e7afedd5f4987ef55156ffe20cebe702,2014-12-12T01:20:24 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
