disasterNumber,incidentType,state,county,city,zipCode,validRegistrations,totalInspected,totalInspectedWithNoDamage,totalWithModerateDamage,totalWithMajorDamage,totalWithSubstantialDamage,approvedForFemaAssistance,totalApprovedIhpAmount,repairReplaceAmount,rentalAmount,otherNeedsAmount,approvedBetween1And10000,approvedBetween10001And25000,approvedBetween25001AndMax,totalMaxGrants,hash,lastRefresh,declarationDate,title,incidentBeginDate,incidentEndDate
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60651.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,459.0,0.0,0.0,459.0,1.0,0.0,0.0,0.0,0c2848a1b3d37ca216e40d7266d70007,2014-11-20T15:20:38 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60641.0,124.0,121.0,121.0,0.0,0.0,0.0,70.0,384907.0,0.0,220266.0,164641.0,60.0,9.0,1.0,1.0,2c28933c6fcfbd4a651ce9948460ccfd,2014-11-20T15:20:38 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60609.0,939.0,903.0,903.0,0.0,0.0,0.0,551.0,1935289.0,0.0,1189333.0,745956.0,514.0,32.0,5.0,1.0,45fd7be16116532bcb712b0196adfbd2,2014-11-20T15:20:38 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60827.0,148.0,141.0,141.0,0.0,0.0,0.0,59.0,115366.0,0.0,55140.0,60226.0,57.0,2.0,0.0,0.0,7001b15646afa6bc79214521253ef5c5,2014-11-20T15:20:38 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60630.0,11.0,11.0,11.0,0.0,0.0,0.0,1.0,2234.0,0.0,0.0,2234.0,1.0,0.0,0.0,0.0,23567187d20f65ae2ba4bb0849a91e0a,2014-11-20T15:20:38 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60620.0,2.0,2295.0,2295.0,0.0,0.0,0.0,1352.0,4051524.0,3959.0,3017694.0,1029872.0,1.0,88.0,14.0,1.0,ef7408caa592738a361025b6465f3ae4,2014-11-20T15:20:38 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60623.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3612.0,0.0,2030.0,1582.0,1.0,0.0,0.0,0.0,a3214f0e375fc4407fe7a5f2b5d95869,2014-11-20T15:20:38 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60653.0,381.0,369.0,369.0,0.0,0.0,0.0,258.0,977976.0,1081.0,561664.0,415230.0,236.0,19.0,3.0,0.0,f6a00614ccc39b43c5a049e47c4dcc09,2014-11-20T15:20:38 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60607.0,137.0,109.0,109.0,0.0,0.0,0.0,45.0,71960.0,0.0,66403.0,5557.0,45.0,0.0,0.0,0.0,36eaa3f62af37f4b4223adaccaea4f29,2014-11-20T15:20:38 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60643.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ffa4450f8bdba61742d9311c5570a954,2014-11-20T15:20:38 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60618.0,146.0,138.0,138.0,0.0,0.0,0.0,96.0,430544.0,0.0,159926.0,270618.0,90.0,6.0,0.0,0.0,5e876281763cfb087ee6c2b17f7e71a9,2014-11-20T15:20:38 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60628.0,2.0,2609.0,2609.0,0.0,0.0,0.0,1499.0,4965772.0,505.0,3889962.0,1075306.0,1.0,114.0,17.0,6.0,ba83c8b9495905b3af8dba99d30c9e57,2014-11-20T15:20:38 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60639.0,1.0,1128.0,1128.0,0.0,0.0,0.0,799.0,3664617.0,0.0,1816432.0,1848185.0,725.0,71.0,3.0,1.0,a93287574d9324cc0fcf969e8c755ebf,2014-11-20T15:20:38 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60651.0,2.0,2298.0,2298.0,0.0,0.0,0.0,1585.0,7675425.0,2583.0,4498713.0,3174129.0,1.0,183.0,15.0,2.0,b249c2a82ca9f4bfd8c17a940c791ece,2014-11-20T15:20:38 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60714.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780c0616fb0253df0a78f35685983b60,2014-11-20T15:20:38 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60623.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2484.0,0.0,2484.0,0.0,1.0,0.0,0.0,0.0,2aed461aa856d6925d6c5265394d436e,2014-11-20T15:20:38 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60619.0,1.0,1852.0,1852.0,0.0,0.0,0.0,1179.0,4516371.0,4147.0,3434177.0,1078046.0,1.0,115.0,11.0,0.0,611a05aaf5ccb3a6e8ac3f858c6d57ae,2014-11-20T15:20:39 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60612.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57eab2bff449f15caa0bf678991088f2,2014-11-20T15:20:39 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60651.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,344.0,0.0,0.0,344.0,1.0,0.0,0.0,0.0,81c8117e95ef4f20c9c66f2510d85568,2014-11-20T15:20:39 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60652.0,287.0,280.0,280.0,0.0,0.0,0.0,177.0,603449.0,1328.0,418922.0,183199.0,163.0,8.0,6.0,2.0,8d64cfeaeec9d4becfe9b188cd84e715,2014-11-20T15:20:39 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60640.0,8.0,8.0,8.0,0.0,0.0,0.0,2.0,1325.0,0.0,0.0,1325.0,2.0,0.0,0.0,0.0,769b2609d272e84472f0634e226092bd,2014-11-20T15:20:39 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60629.0,2.0,1961.0,1961.0,0.0,0.0,0.0,1376.0,5850192.0,0.0,2903103.0,2947090.0,1.0,96.0,7.0,2.0,cc04945a7976942bec868aec82f09fc6,2014-11-20T15:20:39 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60608.0,292.0,275.0,275.0,0.0,0.0,0.0,190.0,751387.0,0.0,368177.0,383210.0,178.0,11.0,1.0,0.0,b2324f7a1b93a94ab9450fc0631c40bb,2014-11-20T15:20:39 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60804.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370b27f1458a1662dce72bfb81a208b7,2014-11-20T15:20:39 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60639.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0e2605f2e5b547ea1f48cdbd731a5c44,2014-11-20T15:20:39 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60104.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,580.0,0.0,0.0,580.0,1.0,0.0,0.0,0.0,a6c3e9ce1d8c520cc3eeda5fc6d74622,2014-11-20T15:20:39 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
