disasterNumber,incidentType,state,county,city,zipCode,totalValidRegistrations,validCallCenterRegistrations,validWebRegistrations,validMobileRegistrations,ihpReferrals,ihpEligible,ihpAmount,haReferrals,haEligible,haAmount,onaReferrals,onaEligible,onaAmount,hash,lastRefresh,declarationDate,title,incidentBeginDate,incidentEndDate
4116.0,Flood,IL,Cook (County),Chicago,60644.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7b94c8cc82eaebb8a56647758ae70fb8,2014-11-23T02:38:03 +00:00,2013-05-10T18:15:00 +00:00,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16 09:37:00,2013-05-05T00:00:00 +00:00
4116.0,Flood,IL,Cook (County),Chicago,60614.0,7.0,2.0,5.0,0.0,7.0,3.0,2936.2,6.0,1.0,888.26,7.0,2.0,2047.94,0649825eca55c3ae07678b2afd7ea2d9,2014-11-23T02:38:03 +00:00,2013-05-10T18:15:00 +00:00,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16 09:37:00,2013-05-05T00:00:00 +00:00
4116.0,Flood,IL,Cook (County),Chicago,60624.0,1175.0,753.0,349.0,73.0,1148.0,692.0,2255862.26,1107.0,553.0,1650428.98,990.0,396.0,605433.28,c6e8298ee56b528cf98adb00bcac7639,2015-03-02T19:03:16 +00:00,2013-05-10T18:15:00 +00:00,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16 09:37:00,2013-05-05T00:00:00 +00:00
4116.0,Flood,IL,Cook (County),Chicago,60636.0,2571.0,1.0,584.0,135.0,2508.0,1539.0,3448754.61,2423.0,1237.0,2751573.28,2068.0,710.0,697181.33,dbf38848961f88ee280ab76643e34bc7,2015-03-02T19:03:16 +00:00,2013-05-10T18:15:00 +00:00,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16 09:37:00,2013-05-05T00:00:00 +00:00
4116.0,Flood,IL,Cook (County),Chicago,60659.0,154.0,75.0,70.0,9.0,146.0,103.0,169962.97,140.0,97.0,152721.0,110.0,31.0,17241.97,4b8febc4bdd1081d41d68e6afdcfb8d5,2014-11-23T02:38:03 +00:00,2013-05-10T18:15:00 +00:00,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16 09:37:00,2013-05-05T00:00:00 +00:00
4116.0,Flood,IL,Cook (County),Chicago,60646.0,360.0,103.0,244.0,13.0,349.0,271.0,442442.45,341.0,262.0,415927.23,260.0,41.0,26515.22,5c2bf06029d8c68a4291a41d4da12d89,2014-11-23T02:38:03 +00:00,2013-05-10T18:15:00 +00:00,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16 09:37:00,2013-05-05T00:00:00 +00:00
4116.0,Flood,IL,Cook (County),Chicago,60290.0,4.0,4.0,0.0,0.0,3.0,3.0,3263.6,3.0,3.0,2301.51,3.0,1.0,962.09,569002cbfdf5b87c320d501ec10a559b,2014-11-23T02:38:03 +00:00,2013-05-10T18:15:00 +00:00,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16 09:37:00,2013-05-05T00:00:00 +00:00
4116.0,Flood,IL,Cook (County),Chicago,60615.0,231.0,124.0,83.0,24.0,213.0,108.0,297918.49,198.0,77.0,226320.32,176.0,68.0,71598.17,2d8132ba442b2a4e4714a5d2e1c4efa1,2014-11-23T02:38:03 +00:00,2013-05-10T18:15:00 +00:00,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16 09:37:00,2013-05-05T00:00:00 +00:00
4116.0,Flood,IL,Cook (County),Chicago,60625.0,217.0,100.0,117.0,0.0,203.0,146.0,541258.13,193.0,128.0,387868.34,167.0,66.0,153389.79,76b2401554c072e2a611bf421625b438,2014-11-23T02:38:03 +00:00,2013-05-10T18:15:00 +00:00,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16 09:37:00,2013-05-05T00:00:00 +00:00
4116.0,Flood,IL,Cook (County),Chicago,60637.0,930.0,553.0,306.0,71.0,885.0,499.0,1124564.1,835.0,338.0,874961.65,744.0,275.0,249602.45,1e28cd11843957b976846e942f3e9b84,2015-03-02T19:03:16 +00:00,2013-05-10T18:15:00 +00:00,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16 09:37:00,2013-05-05T00:00:00 +00:00
