Community_Area,All_Res_2005,Single_2005,Condo_2005,2-4_2005,5+_2005,All_Res_2006,Single_2006,Condo_2006,2-4_2006,5+_2006,All_Res_2007,Single_2007,Condo_2007,2-4_2007,5+_2007,All_Res_2008,Single_2008,Condo_2008,2-4_2008,5+_2008,All_Res_2009,Single_2009,Condo_2009,2-4_2009,5+_2009,All_Res_2010,Single_2010,Condo_2010,2-4_2010,5+_2010,All_Res_2011,Single_2011,Condo_2011,2-4_2011,5+_2011,All_Res_2012,Single_2012,Condo_2012,2-4_2012,5+_2012,All_Res_2013,Single_2013,Condo_2013,2-4_2013,5+_2013,All_Res_2014,Single_2014,Condo_2014,2-4_2014,5+_2014,All_Res_2015,Single_2015,Condo_2015,2-4_2015,5+_2015
Albany Park,32,9,9,14,,57,20,15,21,1,149,52,45,50,2,252,64,78,106,4,342,85,132,117,8,375,101,144,125,5,257,69,96,83,9,222,64,84,71,3,123,37,51,35,,61,24,25,12,,61,30,14,17,
Archer Heights,19,16,,3,,34,23,3,8,,43,29,,13,1,97,68,1,27,1,112,69,4,39,,128,87,3,38,,97,61,2,34,,81,58,2,21,,45,30,,15,,34,22,1,11,,30,23,1,6,
Armour Square,6,1,2,3,,5,2,1,1,1,6,3,2,,1,7,4,2,1,,8,4,3,1,,21,6,9,5,1,13,5,5,2,1,25,3,13,8,1,14,4,4,5,1,6,3,2,1,,2,,1,1,
Ashburn,246,240,3,3,,284,280,3,1,,358,346,5,5,2,527,505,11,10,1,529,511,9,9,,629,608,12,9,,514,499,11,4,,610,581,17,11,1,384,362,11,11,,263,251,10,2,,211,207,3,1,
Auburn Gresham,371,276,2,87,6,390,287,2,96,5,520,381,1,125,13,602,425,4,150,23,474,338,5,113,18,515,363,4,137,11,431,317,2,94,18,493,351,3,113,26,336,234,,84,18,300,211,3,73,13,285,217,,59,9
Austin,564,299,19,232,14,711,315,35,339,22,963,452,34,449,28,"1,090",468,61,524,37,913,449,50,365,49,870,414,68,358,30,741,356,57,295,33,873,445,50,345,33,491,249,34,193,15,379,176,24,158,21,389,180,9,190,10
Avalon Park,95,90,,5,,124,117,,6,1,124,109,1,12,2,138,118,8,11,1,125,106,5,11,3,131,120,2,8,1,141,131,2,8,,143,132,,10,1,87,80,,7,,77,71,,6,,82,77,,3,2
Avondale,36,8,4,24,,70,22,4,44,,125,27,15,81,2,276,62,59,152,3,330,80,62,182,6,361,90,79,187,5,265,69,67,128,1,230,56,63,104,7,107,29,20,57,1,71,29,7,34,1,51,11,8,30,2
Belmont Cragin,139,96,1,41,1,211,137,2,72,,389,235,20,133,1,742,429,39,269,5,905,542,65,292,6,901,596,52,248,5,665,415,44,199,7,557,374,27,154,2,315,208,13,88,6,218,146,7,60,5,152,97,4,48,3
Beverly,67,65,1,1,,66,64,,2,,94,88,1,4,1,115,105,7,3,,114,103,4,6,1,132,118,9,5,,137,126,5,5,1,138,124,6,7,1,81,70,6,4,1,75,67,6,1,1,56,51,2,3,
