Community_Area,All_Res_2005,All_Res_2006,All_Res_2007,All_Res_2008,All_Res_2009,All_Res_2010,All_Res_2011,All_Res_2012,All_Res_2013,All_Res_2014,All_Res_2015
Albany Park,0.4,0.7,1.7,2.9,4,4.3,3,2.6,1.5,0.7,0.7
Archer Heights,0.7,1.2,1.5,3.4,4,4.5,3.4,2.9,1.6,1.2,1.1
Armour Square,0.2,0.2,0.2,0.2,0.3,0.7,0.4,0.8,0.5,0.2,0.1
Ashburn,2,2.3,2.8,4.2,4.2,5,4.1,4.8,3.1,2.1,1.7
Auburn Gresham,3.2,3.4,4.5,5.2,4.1,4.5,3.8,4.3,2.9,2.6,2.5
Austin,3.1,3.8,5.2,5.9,4.9,4.7,4,4.7,2.7,2.1,2.2
Avalon Park,2.7,3.6,3.6,4,3.6,3.8,4.1,4.1,2.5,2.2,2.4
Avondale,0.5,0.9,1.6,3.5,4.2,4.6,3.4,2.9,1.4,1,0.7
Belmont Cragin,1.1,1.6,3,5.7,6.9,6.9,5.1,4.2,2.4,1.7,1.2
Beverly,0.9,0.9,1.3,1.6,1.6,1.9,1.9,1.9,1.1,1.1,0.8
Bridgeport,0.5,0.5,1,1.3,1.6,1.9,1.4,1.3,0.7,0.5,0.5
Brighton Park,0.8,1.3,2.3,3.9,4.9,4.7,3,3.3,2.3,1.3,0.9
Burnside,4.5,3.9,6.7,7.6,5.3,4.8,3.5,5.4,3.2,2.3,1.7
Calumet Heights,2.3,2.6,3.5,3.2,2.9,3.4,2.7,4,2,2.2,1.9
Chatham,2.2,3.1,3.7,4,4.2,3.9,3.7,4,2.5,2.2,1.9
Chicago Lawn,2.9,4.1,5.4,7.5,6.7,6.4,5,5.2,3.3,2.4,2.2
Clearing,0.8,0.9,1.3,2.4,2.5,3,2.6,2.7,2,0.9,0.7
Douglas,0.8,1.3,2.4,2.2,2.4,2.7,2.6,2.6,1.8,0.9,1.1
Dunning,0.5,0.7,1.4,2.9,3.4,3.5,2.4,2.4,1.5,0.9,0.7
East Garfield Park,2.2,3.8,6.4,7.6,7,6.1,4.2,4,2.7,2.1,1.4
East Side,0.9,1,1.6,1.7,2.7,2.2,2.4,2.7,1.5,1.2,0.9
Edgewater,0.4,0.7,0.9,1.3,1.8,2.3,1.9,1.7,1,0.6,0.4
Edison Park,0.3,0.3,0.5,1.2,1.2,1.3,1.1,1.2,0.6,0.3,0.2
Englewood,4.7,7.9,9.5,10.5,7.1,5.5,4.1,5.1,2.8,2.2,1.9
Forest Glen,0.3,0.5,0.7,1.2,1.5,1.9,1.2,1.3,0.7,0.6,0.3
Fuller Park,3.6,4.7,6.5,7.4,4.2,4.6,5.6,2,2.9,2.3,1.9
Gage Park,1.3,1.8,2.8,4.9,5.9,6.1,4.5,4.1,3,2.2,1.7
Garfield Ridge,0.7,0.8,1.4,1.9,2.3,2.8,2.2,2.2,1.4,0.9,0.7
Grand Boulevard,2,3.8,5.6,8,6.4,5.9,4.7,4.8,3.7,2.2,1.8
Greater Grand Crossing,3.2,4.4,6,6.2,5,4.4,4.3,4.9,2.7,2.5,2.1
Hegewisch,1.1,1.7,1.1,1.3,1.7,1.6,1.3,2.2,1.7,1,0.9
Hermosa,1.1,1.7,3.4,6.1,6.5,5.7,4.8,4,2.3,1.4,1.2
Humboldt Park,2.9,3.5,5.4,7.8,6.7,6.1,4.9,4.4,2.9,1.7,1.7
Hyde Park,0.7,0.8,1,1.5,1,1.5,1.5,1.5,0.7,0.8,0.6
Irving Park,0.6,0.7,1.4,2.6,3.3,3.7,2.8,2.4,1.4,0.8,0.4
Jefferson Park,0.5,0.6,1,1.7,2.2,2.7,2,1.8,1.3,0.7,0.4
Kenwood,1.7,2.1,3,3.3,2.3,2.9,2.5,2.9,2.1,1.3,0.9
Lake View,0.2,0.3,0.4,0.7,0.9,1,0.9,0.9,0.5,0.2,0.2
Lincoln Park,0.2,0.3,0.4,0.4,0.9,1,0.8,0.7,0.4,0.2,0.2
Lincoln Square,0.3,0.4,0.8,1.9,2.3,2,1.6,1.5,0.7,0.4,0.4
Logan Square,0.6,0.7,1.4,2.4,2.9,2.9,2.1,2.1,1,0.6,0.5
Loop,0.2,0.3,0.4,0.6,0.7,1.2,1,0.7,0.4,0.3,0.2
Lower West Side,0.7,1,1.4,2.4,2.8,3,2.8,2.3,1.5,0.9,0.7
McKinley Park,0.4,0.6,1.3,2.1,2.6,2.9,2.6,2.3,1.7,0.9,0.7
Montclare,0.8,1.3,1.9,4.2,5,6.3,3.9,3.5,2.4,1.8,1.2
Morgan Park,2,2.6,3,3.1,2.8,3,2.6,3.5,1.6,1.5,1.5
Mount Greenwood,0.6,0.4,0.8,1.1,1.1,1.4,1.4,1.6,1.2,0.8,0.7
Near North Side,0.3,0.3,0.5,0.8,1,1,0.7,0.5,0.4,0.3,0.2
Near South Side,0.1,0.3,0.4,0.6,0.9,1.2,0.9,0.8,0.7,0.5,0.3
Near West Side,0.3,0.4,0.7,1,1.2,1.7,1.4,1.3,0.9,0.5,0.4
New City,2.4,3.8,6.5,6.8,5.5,5.1,3.9,4,2.4,1.8,1.2
North Center,0.2,0.4,0.6,0.9,1.1,1.2,1.2,0.8,0.6,0.3,0.3
North Lawndale,3.1,4.3,6.4,7.2,6.2,5.5,4.5,5.1,2.8,2,2
North Park,0.3,0.6,1.2,2.1,2.9,2.9,2.1,1.7,1.1,0.8,0.6
Norwood Park,0.3,0.4,0.8,1.3,1.6,1.8,1.7,1.4,0.9,0.4,0.3
O'Hare,0.2,0.2,0.8,1.9,2.1,2.6,1.6,1.2,0.8,0.6,0.4
Oakland,0.5,1,1.9,2.2,3,3.8,2.8,3.8,2.2,2.2,1.3
Portage Park,0.6,0.7,1.7,3,3.8,3.7,2.8,2.6,1.6,0.9,0.8
Pullman,3,3.5,3.8,4.5,3.2,4.5,3.2,3.2,2.2,2,1.7
Riverdale,1.8,4.3,3.9,5.5,4.3,3.1,2.4,3.9,1.6,1.2,1.2
Rogers Park,0.6,0.8,1.3,2.4,3.4,3.8,3,2.8,2,0.9,0.8
Roseland,3.3,4.1,5.2,4.8,4.1,3.8,3.7,4.2,2.9,2,2.1
South Chicago,2.9,4.8,5.5,6.2,4.8,4.5,4,4.2,2.8,2,2
South Deering,2.5,2.4,3.4,3.8,3.4,3,3.3,2.8,2.2,1.9,1.7
South Lawndale,1.1,1.4,2.4,3.7,4.4,4.4,3.5,3.8,2,1.3,1.2
South Shore,2.2,4,5.4,5.5,5,4.7,4.3,4.7,2.8,2.4,2.2
Uptown,0.3,0.5,0.8,0.9,1.5,1.7,1.6,1.6,1.1,0.6,0.3
Washington Heights,3.1,3.6,4.3,4,3.5,3.7,3.4,3.9,2.8,2.2,2.2
Washington Park,3.3,4.1,7,9.4,7.3,5.9,5.2,5,3.2,1.9,2
West Elsdon,0.5,1,1.8,3,4.4,4.4,3.8,3.8,2.6,1.5,0.9
West Englewood,5,6.5,8.6,8.3,6.2,5.4,3.7,4.6,2.7,2.1,1.8
West Garfield Park,3.9,6.3,8.6,7.6,6.7,6,3.7,5.1,3.1,2.7,2.3
West Lawn,0.9,1.4,2.5,4.7,5.3,5.9,4.3,4.2,3.3,1.7,1.4
West Pullman,3.6,5.2,5.9,6.2,4.6,4.1,3.5,4.5,2.8,2.1,2
West Ridge,0.4,0.8,1.9,3.7,4.9,4.3,2.9,2.7,1.4,0.7,0.5
West Town,0.5,0.6,1.1,1.8,2.4,2,1.7,1.3,0.8,0.4,0.4
Woodlawn,3,3.9,6.8,7.9,5.8,5.8,4.7,4.2,3,2.3,2
