Community_Area,All_Res_2005,Single_2005,Condo_2005,2-4_2005,5+_2005,All_Res_2006,Single_2006,Condo_2006,2-4_2006,5+_2006,All_Res_2007,Single_2007,Condo_2007,2-4_2007,5+_2007,All_Res_2008,Single_2008,Condo_2008,2-4_2008,5+_2008,All_Res_2009,Single_2009,Condo_2009,2-4_2009,5+_2009,All_Res_2010,Single_2010,Condo_2010,2-4_2010,5+_2010,All_Res_2011,Single_2011,Condo_2011,2-4_2011,5+_2011,All_Res_2012,Single_2012,Condo_2012,2-4_2012,5+_2012,All_Res_2013,Single_2013,Condo_2013,2-4_2013,5+_2013,All_Res_2014,Single_2014,Condo_2014,2-4_2014,5+_2014,All_Res_2015,Single_2015,Condo_2015,2-4_2015,5+_2015
Albany Park,0.20%,0%,0.40%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.30%,0%,0.90%,0%,0%,1.80%,0%,4.10%,0%,0%,1.60%,0%,3.70%,0%,0%,0.80%,0%,1.80%,0%,0%,0%,0%,0%,0%,0%,0.20%,0%,0.70%,0%,0%,0.20%,0%,0.60%,0%,0%
Archer Heights,0%,0%,0%,0%,0%,0%,0%,0%,0%,,0%,0%,0%,0%,,0%,0%,0%,0%,,0%,0%,,0%,,0%,0%,0%,0%,,1%,0%,25%,0%,,1.10%,1.40%,0%,0%,0%,2.30%,1.10%,33.30%,0%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Armour Square,0%,0%,0%,0%,0%,0%,0%,0%,0%,,1.90%,2.90%,1.90%,0%,0%,0%,0%,0%,0%,,1.10%,0%,1.50%,0%,0%,1.80%,0%,2.80%,0%,0%,0%,0%,0%,0%,0%,2.90%,0%,4.90%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Ashburn,0.40%,0.40%,0%,0%,0%,0.50%,0.60%,0%,0%,0%,0.20%,0%,4.50%,0%,0%,0.30%,0.30%,0%,0%,0%,0.50%,0.50%,0%,0%,0%,0.20%,0%,11.10%,0%,,0.70%,0.50%,12.50%,0%,0%,0.60%,0.40%,10%,0%,0%,0.90%,0.60%,12.50%,0%,0%,0.70%,0%,20%,0%,,0.80%,0.60%,16.70%,0%,0%
Auburn Gresham,1%,0.80%,13.30%,0.90%,0%,0.70%,0.60%,13.30%,0.50%,0%,0.50%,0.50%,0%,0.80%,0%,3.60%,4%,,3.80%,0%,13.90%,13%,60%,16.20%,4.50%,13.10%,16.40%,,6.70%,0%,14.60%,14.80%,30%,13.90%,0%,10.10%,9.10%,50%,13.40%,0%,11.60%,12.40%,100%,8.90%,0%,10.80%,12.60%,75%,7.30%,0%,9.30%,10.50%,83.30%,4.20%,0%
Austin,0.50%,0.90%,0.80%,0.10%,0%,0.40%,0.40%,0.70%,0.20%,1.80%,0.30%,0.50%,0.90%,0%,0%,6%,5.50%,15.90%,5.30%,0%,19.10%,21.50%,35.30%,16.60%,4%,13.80%,14.90%,20%,13.10%,0%,12.20%,12.40%,16%,12.10%,0%,11.90%,15%,13.50%,9.50%,0%,10.30%,10.80%,9.50%,11.60%,3.10%,7.90%,7.30%,9.80%,9.60%,0%,4.20%,3.50%,8.10%,5%,0%
Avalon Park,0%,0%,0%,0%,0%,0.40%,0.50%,0%,0%,0%,0%,0%,0%,0%,0%,0.90%,0%,0%,14.30%,0%,8.10%,4.30%,40%,33.30%,0%,9.90%,9.50%,0%,20%,,8.80%,9%,25%,0%,0%,12.20%,11%,100%,14.30%,0%,13.10%,13.10%,100%,0%,,10.90%,11%,33.30%,0%,,6.70%,7%,,0%,0%
Avondale,0.50%,0%,0.60%,0.80%,0%,0.20%,0%,0.50%,0%,0%,0.40%,0%,0.50%,0%,0%,0%,0%,0%,0%,0%,0.40%,0%,1.70%,0%,0%,0.70%,1.10%,1.50%,0%,0%,0.30%,0%,1.40%,0%,0%,1.30%,0.90%,2.60%,0.70%,0%,0.30%,0%,0.90%,0%,0%,0%,0%,0%,0%,0%,0.50%,0.70%,0%,0.60%,0%
Belmont Cragin,0.80%,1%,0%,0.60%,0%,0.10%,0%,0%,0.40%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1.20%,0%,15.40%,1.20%,0%,0.50%,0.30%,5.70%,0%,0%,1.60%,0.30%,11.30%,1.10%,0%,0.90%,0%,11.50%,0%,0%,0.40%,0.20%,1.70%,0.50%,0%,0.20%,0.30%,0%,0%,0%,0%,0%,0%,0%,0%
Beverly,0.50%,0.30%,2.70%,0%,0%,0.30%,0.40%,0%,0%,,0%,0%,0%,0%,0%,0.50%,0.60%,0%,0%,,1.20%,1.30%,0%,0%,,0.60%,0.70%,0%,0%,,0.50%,0.60%,0%,0%,0%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0.80%,0.50%,11.10%,0%,0%,0.40%,0.40%,0%,0%,0%
Bridgeport,1.20%,0.90%,4.50%,0.70%,0%,0%,0%,0%,0%,0%,0.30%,0%,0.80%,0%,0%,0.50%,0%,3.20%,0%,0%,0%,0%,0%,0%,0%,0.50%,1%,0%,0%,,2.90%,0%,14.30%,1.20%,0%,4.50%,1.20%,24.30%,0%,0%,0.40%,0.80%,0%,0%,0%,0.30%,0%,3%,0%,0%,1.40%,0%,0%,3.40%,0%
Brighton Park,0.70%,1.60%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.60%,0%,0%,1.40%,0%,3.60%,4.50%,0%,3.20%,,1.10%,2.20%,0%,0.60%,0%,1.30%,2.10%,0%,0.80%,0%,3.20%,8.10%,0%,0%,0%,3%,5.10%,0%,1.90%,0%,1.20%,0.90%,0%,1.50%,0%,1.30%,0%,0%,2.20%,0%
Burnside,1.10%,1.30%,,0%,,0%,0%,,0%,,0%,0%,,0%,,21.60%,12.10%,,100%,100%,39.60%,36.80%,,50%,,31.70%,26.50%,,57.10%,,45.80%,38.90%,,66.70%,,29.20%,27.80%,,33.30%,,42.90%,38.70%,,75%,,37.50%,31.30%,,62.50%,,30.80%,25%,,57.10%,
Calumet Heights,0.70%,0.40%,0%,0%,33.30%,0.30%,0.40%,,0%,0%,0%,0%,0%,0%,,0%,0%,0%,0%,0%,10.70%,9%,,25%,,15.40%,9.60%,,47.10%,50%,9.50%,9.60%,0%,10%,,8%,7.80%,,11.10%,,10.20%,8.10%,,33.30%,0%,4.30%,4.10%,,5.90%,0%,5.80%,5.80%,0%,7.70%,
Chatham,1.70%,2.20%,2.10%,0.80%,0%,0.30%,0.30%,0%,0.70%,0%,0.50%,0.40%,2.60%,0%,0%,3.20%,2.90%,17.60%,0%,0%,13.80%,11.80%,71.40%,15.60%,0%,13.60%,7.80%,82.40%,15.10%,0%,13.80%,9.80%,61.50%,17.30%,0%,9.60%,8.60%,72.70%,7%,0%,14.10%,12.10%,64.70%,13%,0%,9.50%,8.50%,54.50%,11.10%,0%,6.60%,6%,60%,8.30%,0%
Chicago Lawn,0.30%,0.40%,0%,0%,0%,0.10%,0.20%,0%,0%,0%,0%,0%,0%,0%,0%,3.90%,5.70%,0%,0.80%,0%,8%,8.80%,0%,7.20%,0%,8.80%,9.10%,66.70%,8%,0%,9.50%,11.30%,0%,7.90%,0%,11.80%,13%,33.30%,9.40%,0%,11.10%,11%,50%,10.60%,7.10%,9.40%,11%,0%,6.10%,0%,6.50%,7.10%,0%,5.40%,3.80%
Clearing,0.70%,0.70%,0.70%,0%,0%,0%,0%,0%,0%,0%,0.30%,0.40%,0%,0%,,0.60%,0.70%,0%,0%,0%,0%,0%,0%,0%,,0%,0%,0%,0%,0%,0.50%,0.60%,0%,0%,,0.40%,0%,1.90%,0%,0%,0.50%,0.60%,0%,0%,0%,0.60%,0%,3.80%,0%,0%,0%,0%,0%,0%,0%
Douglas,0.50%,0%,0%,4.50%,0%,0%,0%,0%,0%,0%,0.50%,0%,0.60%,0%,0%,2.20%,0%,3.40%,0%,0%,3.50%,0%,5.20%,0%,0%,7.40%,3.60%,10.20%,0%,,11.10%,17.60%,9.30%,9.10%,0%,3.10%,2.90%,4.10%,0%,0%,3.60%,5.90%,2.90%,0%,0%,2.90%,0%,0%,20%,0%,0%,0%,0%,0%,0%
