CommunityArea,MeanBldgAge,VacantParcels,SmallResParcels,MultiFamilyParcels,MultiFamilyIncParcels,ParcelCount,MeanBldgValue
ALBANY PARK,81.97759103641457,28,6048,266,0,7140,32495.72212885154
ARCHER HEIGHTS,62.7759468054351,72,2736,26,17,3459,23077.798207574444
ARMOUR SQUARE,38.66135084427767,155,1677,24,3,3198,23959.14071294559
ASHBURN,55.17408491947291,145,12324,45,1,13660,14044.5439238653
AUBURN GRESHAM,71.37506277351316,756,11151,306,6,13939,10892.947844178205
AUSTIN,77.4012552109579,1159,16947,461,8,21829,15712.849557927528
AVALON PARK,67.2918040508714,180,3541,32,0,4246,11638.88813000471
AVONDALE,84.59506309804465,100,6017,137,1,7211,31858.431978921093
BELMONT CRAGIN,77.82008054057744,107,12537,215,5,14651,23512.33315132073
BEVERLY,71.26313823163139,162,7081,59,4,8030,23695.44321295143
BRIDGEPORT,74.75935461723309,430,6962,60,3,8739,20529.225769538847
BRIGHTON PARK,79.63520871143376,267,7315,32,2,8816,14739.966991833031
BURNSIDE,56.162541254125415,156,883,3,0,1212,12666.953795379539
CALUMET HEIGHTS,59.620683930942896,206,5153,22,3,6024,10553.62583001328
CHATHAM,66.63242266877398,357,7186,374,0,8858,16041.563219688418
CHICAGO LAWN,75.53347124534547,462,10261,285,0,12085,11435.962681009516
CLEARING,54.407291666666666,127,6611,98,4,7680,16037.530989583332
DOUGLAS,35.337745839636916,272,1116,69,0,2644,27190.203101361574
DUNNING,67.70447524752475,50,11933,55,4,12625,22027.069465346536
EAST GARFIELD PARK,45.6563417498532,1222,2949,144,0,6812,9920.193482090428
EAST SIDE,69.0481209263625,393,6120,22,0,7211,9289.25169879351
EDGEWATER,75.45266385588349,35,3980,389,2,5218,54457.80739747029
EDISON PARK,65.3107088989442,18,3639,46,0,3978,29748.69230769231
ENGLEWOOD,52.511756455737974,2237,5764,169,0,12121,6131.5045788301295
FOREST GLEN,60.81109185441941,85,6823,18,6,7501,32000.95040661245
FULLER PARK,34.58661417322835,382,673,2,0,2032,5415.283464566929
GAGE PARK,78.66471048513301,143,6607,71,2,7668,11355.45579029734
GARFIELD RIDGE,55.35662669737155,255,11219,43,2,12593,16005.388072738822
GRAND BOULEVARD,42.93084786530367,739,2189,274,0,4989,16177.233513730207
GREATER GRAND CROSSING,73.18293072257103,772,6577,292,1,9397,11487.440246887305
HEGEWISCH,53.48107983387171,491,3285,15,8,4334,11323.321642824181
HERMOSA,87.28845703582299,38,3613,84,0,4271,21083.239054085694
HUMBOLDT PARK,78.30183771083327,917,8695,138,0,11917,14760.810858437526
HYDE PARK,56.44735812133072,102,1708,192,0,2555,61083.39452054795
IRVING PARK,80.98853583679364,98,9358,303,11,11078,30202.73397725221
JEFFERSON PARK,68.24535175879397,55,7009,46,1,7960,25185.128140703517
KENWOOD,50.510450534138414,151,1489,96,0,2153,43138.95587552253
LAKE VIEW,66.29195903660155,143,8311,674,10,10546,86403.24938365257
LINCOLN PARK,59.808090973130724,296,7792,357,4,9937,99012.04598973533
LINCOLN SQUARE,73.53084911423335,54,5317,380,22,6548,47339.460140500916
LOGAN SQUARE,81.96511543223363,418,11053,345,2,13731,38765.81130289127
LOOP,42.411794871794875,70,94,78,14,1950,1753544.237948718
LOWER WEST SIDE,85.39509342461845,440,4685,130,3,7011,23323.95763799743
MCKINLEY PARK,80.78804220398594,241,3286,23,0,4265,18937.332942555688
