Zip,MeanBldgAge,VacantParcels,SmallResParcels,MultiFamilyParcels,MultiFamilyIncParcels,ParcelCount,MeanBldgValue
0,60.06647940074907,0,1797,339,0,2136,67103.3441011236
60601,11.942857142857143,0,17,18,0,35,1345272.8
60602,17.6,0,4,1,0,5,836702.0
60603,21.714285714285715,0,6,1,0,7,53149.0
60604,39.4,0,9,6,0,15,246167.86666666667
60605,21.315726290516206,0,760,73,0,833,138646.38895558222
60606,18.125,0,11,5,0,16,747997.9375
60607,53.50616674888999,0,1890,137,0,2027,58147.779970399606
60608,99.18857889334701,0,10458,259,0,10717,19854.32677055146
60609,96.29246627000754,0,11827,106,0,11933,13689.644515209922
60610,45.73234421364985,0,1505,180,0,1685,154809.73056379822
60611,45.258823529411764,0,280,60,0,340,812248.4794117647
60612,85.18028455284554,0,4751,169,0,4920,27492.38780487805
60613,77.71775700934579,0,3920,360,0,4280,77802.04439252337
60614,67.4765406162465,0,8205,363,0,8568,102381.76680672269
60615,73.38062064597847,0,2858,300,0,3158,49447.64661177961
60616,74.08543619322278,0,5473,75,0,5548,33146.580749819754
60617,78.14474356789913,0,23307,169,0,23476,9769.004983813256
60618,88.82216621588394,0,15875,393,0,16268,36455.86839193509
60619,80.04016850599264,0,16325,529,0,16854,12424.641212768482
60620,80.0270818835537,0,16816,428,0,17244,11130.854848063094
60621,103.65982931576583,0,6450,229,0,6679,10942.58856116185
60622,82.0093012440414,0,8362,239,0,8601,52982.75526101616
60623,100.54223026108839,0,12558,158,0,12716,13261.652091852784
60624,94.35663143539038,0,5630,236,0,5866,14714.220252301398
60625,84.36048280758698,0,9336,523,0,9859,39127.96967238057
60626,72.99359951234379,0,2841,440,0,3281,44811.083815909784
60628,81.12100425298395,0,21773,94,0,21867,8785.943705126447
60629,76.81644334590868,0,22690,371,0,23061,12220.498677420754
60630,77.48932542624166,0,13365,125,0,13490,24602.732468495182
60631,69.28161112981039,0,8825,88,0,8913,27326.401772691574
60632,80.42634080108621,0,16117,86,0,16203,13006.821329383447
60633,69.98627002288329,0,3045,14,0,3059,10277.527623406342
60634,73.45160294344672,0,19296,137,0,19433,21112.205166469408
60636,92.249605211212,0,10045,87,0,10132,8083.719699960521
60637,89.22236743838685,0,5071,285,0,5356,24796.90141896938
60638,58.01202973387051,0,17491,132,0,17623,15035.132327072575
60639,88.02792896018333,0,13703,261,0,13964,19218.456602692637
60640,77.85465893892109,0,4043,443,0,4486,62227.223361569326
60641,87.09227598839871,0,12797,305,0,13102,25704.773393375057
60642,68.56055083029567,0,2369,100,0,2469,55994.46861077359
60643,71.41035250029277,0,16976,102,0,17078,15689.554280360699
60644,97.2867552507501,0,6714,285,0,6999,13974.142734676383
60645,66.46146858440575,0,6346,259,0,6605,29506.270704012113
60646,66.48112999337894,0,9025,37,0,9062,30961.469432796293
60647,93.60462130937098,0,12854,389,0,13243,34949.290040021144
60649,84.85876595000875,0,5168,553,0,5721,21852.933578045795
60651,97.70900981266726,0,11023,187,0,11210,13224.635414808206
60652,58.704530423280424,0,12053,43,0,12096,12052.120866402116
60653,72.59981458590853,0,2966,270,0,3236,27209.39307787392
60654,41.51381215469613,0,289,73,0,362,330596.67679558013
60655,62.81773007354403,0,10053,9,0,10062,18532.204034983104
60656,59.11997600479904,0,6620,48,0,6668,25876.180413917216
60657,70.51313251224217,0,6307,432,0,6739,84735.29752188752
60659,69.22412562455389,0,5378,226,0,5604,32097.13436830835
60660,78.97515327525008,0,2792,307,0,3099,50076.141335914814
60661,26.484536082474225,0,75,22,0,97,337376.6288659794
60706,57.333333333333336,0,3,0,0,3,29518.333333333332
60707,73.96608963718283,0,4188,29,0,4217,20505.2636945696
60712,53.666666666666664,0,3,0,0,3,28067.666666666668
60714,52.5,0,2,0,0,2,28024.5
60803,64.49295774647888,0,71,0,0,71,8390.985915492958
60804,71.25,0,4,0,0,4,7685.75
60805,50.0,0,6,0,0,6,12768.833333333334
60827,68.43907156673114,0,515,2,0,517,4708.251450676983
