start_time,end_time,duration_hrs,total_precip
1970-03-19 18:00:00,1970-03-19 22:00:00,4.0,0.18
1970-04-13 03:00:00,1970-04-13 04:00:00,1.0,0.24
1970-04-19 03:00:00,1970-04-19 07:00:00,4.0,0.26
1970-04-30 00:00:00,1970-05-01 01:00:00,25.0,0.53
1970-05-12 06:00:00,1970-05-13 07:00:00,25.0,1.57
1970-05-14 03:00:00,1970-05-14 13:00:00,10.0,0.33
1970-05-29 15:00:00,1970-05-29 16:00:00,1.0,0.6
1970-06-13 00:00:00,1970-06-13 01:00:00,1.0,0.79
1970-06-20 21:00:00,1970-06-21 04:00:00,7.0,0.54
1970-07-19 15:00:00,1970-07-19 16:00:00,1.0,0.97
1970-07-27 15:00:00,1970-07-27 16:00:00,1.0,0.09
1970-07-28 18:00:00,1970-07-28 19:00:00,1.0,0.15
1970-07-30 00:00:00,1970-07-30 07:00:00,7.0,0.84
1970-08-03 00:00:00,1970-08-03 01:00:00,1.0,0.13
1970-08-18 09:00:00,1970-08-18 10:00:00,1.0,0.16
1970-09-03 06:00:00,1970-09-03 16:00:00,10.0,0.33
1970-09-06 09:00:00,1970-09-06 13:00:00,4.0,0.5700000000000001
1970-09-12 12:00:00,1970-09-12 13:00:00,1.0,0.15
1970-09-14 18:00:00,1970-09-15 07:00:00,13.0,0.8700000000000001
1970-09-22 03:00:00,1970-09-22 04:00:00,1.0,0.2
1970-09-23 21:00:00,1970-09-24 04:00:00,7.0,0.4
1970-09-26 00:00:00,1970-09-26 01:00:00,1.0,0.25
1970-10-13 18:00:00,1970-10-13 22:00:00,4.0,0.18
1970-10-27 21:00:00,1970-10-28 10:00:00,13.0,0.27
1970-11-20 00:00:00,1970-11-20 04:00:00,4.0,0.26
1970-11-27 18:00:00,1970-11-27 19:00:00,1.0,0.08
1970-12-10 18:00:00,1970-12-11 01:00:00,7.0,0.35000000000000003
1971-02-04 18:00:00,1971-02-04 19:00:00,1.0,0.12
1971-02-18 18:00:00,1971-02-18 19:00:00,1.0,0.11
1971-02-19 21:00:00,1971-02-19 22:00:00,1.0,0.12
1971-04-13 00:00:00,1971-04-13 01:00:00,1.0,0.14
1971-04-27 09:00:00,1971-04-27 10:00:00,1.0,0.12
1971-05-02 09:00:00,1971-05-02 10:00:00,1.0,0.08
1971-05-25 00:00:00,1971-05-25 01:00:00,1.0,0.47
1971-06-01 03:00:00,1971-06-01 04:00:00,1.0,0.1
1971-06-02 00:00:00,1971-06-02 01:00:00,1.0,0.14
1971-06-18 21:00:00,1971-06-18 22:00:00,1.0,0.37
1971-06-23 00:00:00,1971-06-23 01:00:00,1.0,0.37
1971-06-23 15:00:00,1971-06-23 16:00:00,1.0,0.43
1971-06-25 00:00:00,1971-06-25 01:00:00,1.0,0.13
1971-07-04 21:00:00,1971-07-05 01:00:00,4.0,0.75
1971-07-08 06:00:00,1971-07-08 07:00:00,1.0,1.18
1971-07-23 15:00:00,1971-07-23 16:00:00,1.0,0.09
1971-08-03 06:00:00,1971-08-03 07:00:00,1.0,0.09
1971-08-14 06:00:00,1971-08-14 07:00:00,1.0,0.35
1971-08-22 21:00:00,1971-08-22 22:00:00,1.0,0.1
1971-08-24 18:00:00,1971-08-24 19:00:00,1.0,1.72
1971-09-04 21:00:00,1971-09-04 22:00:00,1.0,0.12
1971-09-19 06:00:00,1971-09-19 07:00:00,1.0,0.18
1971-12-10 03:00:00,1971-12-10 10:00:00,7.0,0.5
1971-12-30 00:00:00,1971-12-30 04:00:00,4.0,0.25
1972-03-12 21:00:00,1972-03-13 19:00:00,22.0,0.48
1972-03-21 12:00:00,1972-03-21 13:00:00,1.0,0.1
1972-04-16 09:00:00,1972-04-16 10:00:00,1.0,0.33
1972-04-19 00:00:00,1972-04-19 01:00:00,1.0,0.47
1972-05-07 06:00:00,1972-05-07 07:00:00,1.0,0.1
1972-05-14 15:00:00,1972-05-14 16:00:00,1.0,0.66
1972-05-29 12:00:00,1972-05-29 13:00:00,1.0,0.29
1972-06-12 09:00:00,1972-06-12 10:00:00,1.0,0.11
1972-06-14 21:00:00,1972-06-15 01:00:00,4.0,0.91
1972-07-02 03:00:00,1972-07-02 04:00:00,1.0,0.11
1972-07-07 06:00:00,1972-07-07 07:00:00,1.0,0.11
1972-07-12 21:00:00,1972-07-12 22:00:00,1.0,0.66
1972-07-13 18:00:00,1972-07-13 19:00:00,1.0,0.08
1972-08-06 00:00:00,1972-08-06 04:00:00,4.0,0.45
1972-08-11 09:00:00,1972-08-11 13:00:00,4.0,0.38
1972-08-23 12:00:00,1972-08-23 19:00:00,7.0,0.34
1972-08-25 18:00:00,1972-08-25 22:00:00,4.0,1.74
1972-09-13 03:00:00,1972-09-13 07:00:00,4.0,0.39
1972-09-17 18:00:00,1972-09-18 07:00:00,13.0,0.88
1972-09-19 12:00:00,1972-09-19 13:00:00,1.0,0.09
1972-09-28 18:00:00,1972-09-28 22:00:00,4.0,0.43999999999999995
1972-10-11 03:00:00,1972-10-11 04:00:00,1.0,0.34
1972-11-01 21:00:00,1972-11-02 01:00:00,4.0,0.25
1972-12-12 06:00:00,1972-12-12 13:00:00,7.0,0.31000000000000005
1972-12-30 03:00:00,1972-12-30 07:00:00,4.0,0.41000000000000003
1973-02-14 02:00:00,1973-02-15 04:00:00,26.0,0.78
1973-03-05 01:00:00,1973-03-05 04:00:00,3.0,0.37
1973-03-07 03:00:00,1973-03-07 04:00:00,1.0,0.11
1973-03-09 12:00:00,1973-03-09 13:00:00,1.0,0.15
1973-03-11 01:00:00,1973-03-11 03:00:00,2.0,0.18
