zip,shape_area
60647,106052287.5
60639,127476050.8
60707,45069038.48
60622,70853834.38
60651,99039621.25
60611,23506055.73
60638,166166339.1
60652,128309832.2
60626,49170578.96
60645,62181473.52
60660,37984388.84
60640,77305245.71
60625,105830918
60641,113903341.1
60657,63547755.92
60615,66565454.85
60621,104746821.1
60636,104114706.7
60649,80526076.09
60617,452837422
60643,183013076.3
60633,187526657.2
60643,3136688.225
60612,106718949.4
60624,99418122.47
60644,99092221.54
60603,4560228.982
60605,36301276.35
60653,67759827.81
60609,213490325.3
60666,282085137.6
60618,141235867.5
60616,109667069.4
60602,4847124.817
60601,9166245.8
60608,176505462.5
60607,64664293.94
60661,9357755.68
60606,6766410.898
60614,94460631.81
60631,107117591.9
60646,117890054.1
60628,345241692.2
60827,48551330.39
60630,131073763.1
60642,47961494.4
60604,4294901.994
60656,89515884.46
60655,115380139.1
60659,69698411.44
60707,3450671.143
60634,194062612.2
60613,53990894.88
60610,31598157.09
60654,15869961.35
60632,211755252.6
60623,155285532
60629,211114779.4
60620,211696051
60637,125424284.2
60619,167872012.6
