Outfall Structure,Outfall Location,Tide Gate #,Waterway Reach,Plant,Open date/time,Close date/time,Gate Open Period
DS-N05,"Forest Glen Ave (S), West of Cicero",TG1,NBCR Upper (NSC Confluence),Stickney,2016-04-01 17:54:00,2016-04-01 23:07:00,0 days 05:13:48.000000000
DS-N08,Mango Ave ext. (Leonard & Miltmore) (W),TG1,NBCR Upper (NSC Confluence),Stickney,2016-04-01 17:53:00,2016-04-01 19:42:00,0 days 01:48:55.000000000
DS-N10B,Imlay St & Milwaukee (W),TG1,NBCR Upper (NSC Confluence),Stickney,2016-04-01 18:10:00,2016-04-01 18:26:00,0 days 00:16:08.000000000
DS-N08,Mango Ave ext. (Leonard & Miltmore) (W),TG1,NBCR Upper (NSC Confluence),Stickney,2016-04-01 17:53:00,2016-04-01 19:42:00,0 days 01:48:55.000000000
DS-N05,"Forest Glen Ave (S), West of Cicero",TG1,NBCR Upper (NSC Confluence),Stickney,2016-04-01 17:54:00,2016-04-01 23:07:00,0 days 05:13:48.000000000
DS-N05,"Forest Glen Ave (S), West of Cicero",TG1,NBCR Upper (NSC Confluence),Stickney,2016-04-02 10:17:00,2016-04-02 10:20:00,0 days 00:02:48.000000000
DS-N05,"Forest Glen Ave (S), West of Cicero",TG1,NBCR Upper (NSC Confluence),Stickney,2016-04-02 10:44:00,2016-04-02 11:58:00,0 days 01:13:52.000000000
DS-N05,"Forest Glen Ave (S), West of Cicero",TG1,NBCR Upper (NSC Confluence),Stickney,2016-04-02 15:40:00,2016-04-02 22:10:00,0 days 06:30:32.000000000
DS-N05,"Forest Glen Ave (S), West of Cicero",TG1,NBCR Upper (NSC Confluence),Stickney,2016-04-06 05:14:00,2016-04-06 06:59:00,0 days 01:44:52.000000000
DS-M84,Roscoe St (W),TG4,NBCR Lower (NSC Confluence),Stickney,2016-04-06 11:48:00,2016-04-06 13:19:00,0 days 01:31:00.000000000
DS-M79,Logan Blvd (W),TG2,NBCR Lower (NSC Confluence),Stickney,2016-04-06 11:21:00,2016-04-06 13:45:00,0 days 02:23:56.000000000
DS-M79,Logan Blvd (W),TG2,NBCR Lower (NSC Confluence),Stickney,2016-04-06 13:59:00,2016-04-06 14:00:00,0 days 00:00:44.000000000
DS-N08,Mango Ave ext. (Leonard & Miltmore) (W),TG1,NBCR Upper (NSC Confluence),Stickney,2016-04-06 11:33:00,2016-04-06 14:17:00,0 days 02:43:24.000000000
DS-M79,Logan Blvd (W),TG2,NBCR Lower (NSC Confluence),Stickney,2016-04-06 14:34:00,2016-04-06 14:35:00,0 days 00:00:48.000000000
DS-M84,Roscoe St (W),TG2,NBCR Lower (NSC Confluence),Stickney,2016-04-06 11:51:00,2016-04-06 14:36:00,0 days 02:44:52.000000000
DS-M79,Logan Blvd (W),TG2,NBCR Lower (NSC Confluence),Stickney,2016-04-06 14:57:00,2016-04-06 14:59:00,0 days 00:01:32.000000000
DS-M79,Logan Blvd (W),TG2,NBCR Lower (NSC Confluence),Stickney,2016-04-06 16:14:00,2016-04-06 16:15:00,0 days 00:00:44.000000000
DS-N05,"Forest Glen Ave (S), West of Cicero",TG1,NBCR Upper (NSC Confluence),Stickney,2016-04-06 09:11:00,2016-04-06 16:29:00,0 days 07:17:24.000000000
DS-M15,Kenton Ave (Kostner Ave Ext.) (N),TG2,CSSC Upper (SWRP),Stickney,2016-04-06 11:41:00,2016-04-06 16:30:00,0 days 04:49:28.000000000
DS-M03,67th St ext. (E),TG1,CSSC Lower (SWRP),Stickney,2016-04-06 19:15:00,2016-04-06 21:15:00,0 days 02:00:20.000000000
DS-M03,67th St ext. (E),TG1,CSSC Lower (SWRP),Stickney,2016-04-06 21:16:00,2016-04-06 21:18:00,0 days 00:02:20.000000000
DS-M03,67th St ext. (E),TG1,CSSC Lower (SWRP),Stickney,2016-04-06 21:19:00,2016-04-06 21:23:00,0 days 00:04:08.000000000
DS-M03,67th St ext. (E),TG1,CSSC Lower (SWRP),Stickney,2016-04-06 21:24:00,2016-04-06 21:25:00,0 days 00:01:36.000000000
DS-M79,Logan Blvd (W),TG2,NBCR Lower (NSC Confluence),Stickney,2016-04-20 22:28:00,2016-04-20 22:31:00,0 days 00:02:38.000000000
DS-M15,Kenton Ave (Kostner Ave Ext.) (N),TG2,CSSC Upper (SWRP),Stickney,2016-04-20 23:05:00,2016-04-20 23:11:00,0 days 00:05:14.000000000
DS-N08,Mango Ave ext. (Leonard & Miltmore) (W),TG1,NBCR Upper (NSC Confluence),Stickney,2016-04-20 21:51:00,2016-04-20 23:12:00,0 days 01:21:04.000000000
DS-M08,Natchez Ave ext. (S),TG1,CSSC Lower (SWRP),Stickney,2016-04-20 23:08:00,2016-04-20 23:14:00,0 days 00:05:44.000000000
DS-N10B,Imlay St & Milwaukee (W),TG1,NBCR Upper (NSC Confluence),Stickney,2016-04-25 21:56:00,2016-04-25 22:22:00,0 days 00:25:28.000000000
DS-M79,Logan Blvd (W),TG2,NBCR Lower (NSC Confluence),Stickney,2016-04-25 22:53:00,2016-04-25 22:55:00,0 days 00:02:44.000000000
DS-M84,Roscoe St (W),TG4,NBCR Lower (NSC Confluence),Stickney,2016-04-25 22:54:00,2016-04-25 23:26:00,0 days 00:31:32.000000000
DS-M84,Roscoe St (W),TG2,NBCR Lower (NSC Confluence),Stickney,2016-04-25 22:56:00,2016-04-25 23:27:00,0 days 00:31:04.000000000
DS-M79,Logan Blvd (W),TG2,NBCR Lower (NSC Confluence),Stickney,2016-04-25 23:06:00,2016-04-25 23:33:00,0 days 00:27:36.000000000
DS-N08,Mango Ave ext. (Leonard & Miltmore) (W),TG1,NBCR Upper (NSC Confluence),Stickney,2016-04-25 21:53:00,2016-04-25 23:36:00,0 days 01:43:08.000000000
DS-N05,"Forest Glen Ave (S), West of Cicero",TG1,NBCR Upper (NSC Confluence),Stickney,2016-04-25 22:03:00,2016-04-26 00:37:00,0 days 02:34:04.000000000
DS-N10B,Imlay St & Milwaukee (W),TG1,NBCR Upper (NSC Confluence),Stickney,2016-04-27 19:22:00,2016-04-27 19:23:00,0 days 00:01:00.000000000
DS-N10B,Imlay St & Milwaukee (W),TG1,NBCR Upper (NSC Confluence),Stickney,2016-04-27 19:25:00,2016-04-27 19:26:00,0 days 00:01:44.000000000
DS-N10B,Imlay St & Milwaukee (W),TG1,NBCR Upper (NSC Confluence),Stickney,2016-04-27 19:27:00,2016-04-27 19:29:00,0 days 00:01:44.000000000
DS-N10B,Imlay St & Milwaukee (W),TG1,NBCR Upper (NSC Confluence),Stickney,2016-04-27 19:30:00,2016-04-27 19:32:00,0 days 00:01:36.000000000
DS-N10B,Imlay St & Milwaukee (W),TG1,NBCR Upper (NSC Confluence),Stickney,2016-04-27 19:32:00,2016-04-27 19:56:00,0 days 00:23:40.000000000
DS-M08,Natchez Ave ext. (S),TG1,CSSC Lower (SWRP),Stickney,2016-04-27 19:06:00,2016-04-27 20:09:00,0 days 01:03:24.000000000
DS-N12,Caldwell Ave & Touhy Ave (Harts Rd & Touhy Ave) (E),TG1,NBCR Upper (NSC Confluence),Stickney,2016-04-27 19:35:00,2016-04-27 20:29:00,0 days 00:54:40.000000000
DS-M03,67th St ext. (E),TG1,CSSC Lower (SWRP),Stickney,2016-04-27 20:31:00,2016-04-27 20:46:00,0 days 00:15:12.000000000
DS-M84,Roscoe St (W),TG4,NBCR Lower (NSC Confluence),Stickney,2016-04-27 20:07:00,2016-04-27 20:47:00,0 days 00:40:08.000000000
DS-M84,Roscoe St (W),TG2,NBCR Lower (NSC Confluence),Stickney,2016-04-27 20:08:00,2016-04-27 20:48:00,0 days 00:39:08.000000000
DS-M03,67th St ext. (E),TG1,CSSC Lower (SWRP),Stickney,2016-04-27 20:48:00,2016-04-27 21:04:00,0 days 00:15:24.000000000
DS-N08,Mango Ave ext. (Leonard & Miltmore) (W),TG1,NBCR Upper (NSC Confluence),Stickney,2016-04-27 19:07:00,2016-04-27 21:09:00,0 days 02:02:04.000000000
DS-M03,67th St ext. (E),TG1,CSSC Lower (SWRP),Stickney,2016-04-27 21:09:00,2016-04-27 21:11:00,0 days 00:02:32.000000000
DS-M79,Logan Blvd (W),TG2,NBCR Lower (NSC Confluence),Stickney,2016-04-27 19:46:00,2016-04-27 21:41:00,0 days 01:55:12.000000000
DS-M15,Kenton Ave (Kostner Ave Ext.) (N),TG2,CSSC Upper (SWRP),Stickney,2016-04-27 20:29:00,2016-04-27 23:10:00,0 days 02:40:44.000000000
DS-N08,Mango Ave ext. (Leonard & Miltmore) (W),TG1,NBCR Upper (NSC Confluence),Stickney,2016-04-27 22:03:00,2016-04-27 23:25:00,0 days 01:22:20.000000000
DS-M49,Roosevelt Rd (Roosevelt & Lumber) (W),TG1,SB Chicago R,Stickney,2016-04-28 01:28:00,2016-04-28 01:38:00,0 days 00:09:56.000000000
DS-M83,Melrose St & North Rockwell St (W),TG1,NBCR Lower (NSC Confluence),Stickney,2016-04-28 01:38:00,2016-04-28 01:49:00,0 days 00:11:32.000000000
DS-M08,Natchez Ave ext. (S),TG1,CSSC Lower (SWRP),Stickney,2016-04-28 00:31:00,2016-04-28 01:57:00,0 days 01:26:40.000000000
DS-M70,North Ave (E),TG1,NBCR Lower (NSC Confluence),Stickney,2016-04-28 01:57:00,2016-04-28 02:05:00,0 days 00:08:48.000000000
DS-M45,14th St (E),TG1,SB Chicago R,Stickney,2016-04-28 01:15:00,2016-04-28 02:13:00,0 days 00:58:40.000000000
DS-N16,Dobson St and Nordica Ave (W),TG1,NBCR Upper (NSC Confluence),Stickney,2016-04-28 01:58:00,2016-04-28 02:15:00,0 days 00:16:32.000000000
DS-N06,Ardmore Ave (Indian & Ardmore) (W),TG1,NBCR Upper (NSC Confluence),Stickney,2016-04-28 01:52:00,2016-04-28 02:19:00,0 days 00:27:48.000000000
DS-N11,Forestview Lane & Riverside Dr (E of Milwaukee) (W),TG1,NBCR Upper (NSC Confluence),Stickney,2016-04-28 01:47:00,2016-04-28 02:20:00,0 days 00:32:24.000000000
DS-N04,"Cicero Ave (N), South of Forest Glen",TG2,NBCR Upper (NSC Confluence),Stickney,2016-04-28 02:20:00,2016-04-28 02:23:00,0 days 00:03:24.000000000
DS-M30,35th St. (W),TG1,SF SB Chicago R,Stickney,2016-04-28 00:51:00,2016-04-28 02:35:00,0 days 01:44:16.000000000
DS-M80,"Leavitt St East Bank (N), Southwest of DS-M80",TG1,NBCR Lower (NSC Confluence),Stickney,2016-04-28 01:39:00,2016-04-28 02:36:00,0 days 00:56:32.000000000
DS-M13,"Laramie Ave ext. (Edmeir Rd, SE of SWRP guardhouse) (N)",TG1,CSSC Upper (SWRP),Stickney,2016-04-28 01:18:00,2016-04-28 02:36:00,0 days 01:18:04.000000000
DS-M73,McLean Ave (W),TG1,NBCR Lower (NSC Confluence),Stickney,2016-04-28 01:35:00,2016-04-28 02:38:00,0 days 01:03:04.000000000
DS-M25,Paulina St (N),TG1,SB Chicago R,Stickney,2016-04-28 01:06:00,2016-04-28 02:44:00,0 days 01:38:32.000000000
DS-N19,Dempster St near Lincoln Ave (E),TG1,NBCR Upper (NSC Confluence),Stickney,2016-04-28 02:06:00,2016-04-28 02:44:00,0 days 00:38:52.000000000
DS-M75,Fullerton Ave (E),TG1,NBCR Lower (NSC Confluence),Stickney,2016-04-28 02:16:00,2016-04-28 02:47:00,0 days 00:31:00.000000000
DS-N17,Cleveland St east of Caldwell Ave (W),TG1,NBCR Upper (NSC Confluence),Stickney,2016-04-28 02:00:00,2016-04-28 02:48:00,0 days 00:48:16.000000000
DS-M97,Pratt Ave (E),TG1,NSC Lower (NSWRP),Stickney,2016-04-28 02:05:00,2016-04-28 02:53:00,0 days 00:48:20.000000000
DS-M97,Pratt Ave (E),TG2,NSC Lower (NSWRP),Stickney,2016-04-28 02:05:00,2016-04-28 02:53:00,0 days 00:48:20.000000000
DS-M75,Fullerton Ave (E),TG2,NBCR Lower (NSC Confluence),Stickney,2016-04-28 02:16:00,2016-04-28 02:55:00,0 days 00:39:32.000000000
DS-M97,North Shore Ave (E),TG3,NSC Lower (NSWRP),Stickney,2016-04-28 02:03:00,2016-04-28 02:59:00,0 days 00:56:04.000000000
DS-M66,Blackhawk St (W),TG2,NBCR Lower (NSC Confluence),Stickney,2016-04-28 01:44:00,2016-04-28 03:00:00,0 days 01:15:44.000000000
DS-M66,Blackhawk St (W),TG2,NBCR Lower (NSC Confluence),Stickney,2016-04-28 03:00:00,2016-04-28 03:03:00,0 days 00:02:44.000000000
DS-N18,East of Caldwell Ave at Main St ext.(W),TG1,NBCR Upper (NSC Confluence),Stickney,2016-04-28 01:59:00,2016-04-28 03:03:00,0 days 01:03:52.000000000
DS-M114N,Sheridan Rd (Wilmette P.S.) (W),TG1,NSC Upper (NSWRP),Stickney,2016-04-28 02:43:00,2016-04-28 03:05:00,0 days 00:21:56.000000000
DS-M66,Blackhawk St (W),TG1,NBCR Lower (NSC Confluence),Stickney,2016-04-28 01:44:00,2016-04-28 03:06:00,0 days 01:22:24.000000000
DS-N13R,6872 Touhy Ave (Franks and Nieman) (E),TG1,NBCR Upper (NSC Confluence),Stickney,2016-04-28 01:38:00,2016-04-28 03:11:00,0 days 01:33:28.000000000
DS-N10A,Wildwood Ave ext. (Caldwell & Tonty) (E),TG1,NBCR Upper (NSC Confluence),Stickney,2016-04-28 01:49:00,2016-04-28 03:16:00,0 days 01:26:32.000000000
DS-N10B,Imlay St & Milwaukee (W),TG1,NBCR Upper (NSC Confluence),Stickney,2016-04-28 01:35:00,2016-04-28 03:28:00,0 days 01:52:20.000000000
DS-M84,Roscoe St (W),TG4,NBCR Lower (NSC Confluence),Stickney,2016-04-28 01:49:00,2016-04-28 03:54:00,0 days 02:04:28.000000000
DS-M38,Union Ave (N),TG1,SB Chicago R,Stickney,2016-04-28 04:20:00,2016-04-28 04:21:00,0 days 00:01:12.000000000
DS-M101,Mulford St (E),TG2,NSC Lower (NSWRP),Stickney,2016-04-28 02:29:00,2016-04-28 04:29:00,0 days 02:00:12.000000000
DS-M38,Union Ave (N),TG1,SB Chicago R,Stickney,2016-04-28 04:28:00,2016-04-28 04:31:00,0 days 00:02:32.000000000
DS-N18,East of Caldwell Ave at Main St ext.(W),TG1,NBCR Upper (NSC Confluence),Stickney,2016-04-28 04:28:00,2016-04-28 04:46:00,0 days 00:18:04.000000000
DS-M25,Paulina St (N),TG1,SB Chicago R,Stickney,2016-04-28 03:45:00,2016-04-28 04:48:00,0 days 01:03:00.000000000
DS-M61A,Fulton St & Canal St (W),TG2,NBCR Lower (NSC Confluence),Stickney,2016-04-28 04:04:00,2016-04-28 04:52:00,0 days 00:47:04.000000000
DS-M30,35th St. (W),TG1,SF SB Chicago R,Stickney,2016-04-28 03:21:00,2016-04-28 04:54:00,0 days 01:32:40.000000000
DS-M104W,Main St (W),TG1,NSC Upper (NSWRP),Stickney,2016-04-28 02:02:00,2016-04-28 04:59:00,0 days 02:57:20.000000000
DS-N13R,6872 Touhy Ave (Franks and Nieman) (E),TG1,NBCR Upper (NSC Confluence),Stickney,2016-04-28 04:07:00,2016-04-28 05:04:00,0 days 00:56:56.000000000
DS-N10A,Wildwood Ave ext. (Caldwell & Tonty) (E),TG1,NBCR Upper (NSC Confluence),Stickney,2016-04-28 04:10:00,2016-04-28 05:14:00,0 days 01:03:56.000000000
DS-M66,Blackhawk St (W),TG2,NBCR Lower (NSC Confluence),Stickney,2016-04-28 03:55:00,2016-04-28 05:18:00,0 days 01:23:16.000000000
DS-M66,Blackhawk St (W),TG1,NBCR Lower (NSC Confluence),Stickney,2016-04-28 03:54:00,2016-04-28 05:22:00,0 days 01:27:28.000000000
DS-M03,67th St ext. (E),TG1,CSSC Lower (SWRP),Stickney,2016-04-28 00:37:00,2016-04-28 05:25:00,0 days 04:47:28.000000000
DS-N10B,Imlay St & Milwaukee (W),TG1,NBCR Upper (NSC Confluence),Stickney,2016-04-28 04:04:00,2016-04-28 05:27:00,0 days 01:22:48.000000000
DS-M80,"Leavitt St East Bank (N), Southwest of DS-M80",TG1,NBCR Lower (NSC Confluence),Stickney,2016-04-28 04:05:00,2016-04-28 05:33:00,0 days 01:27:28.000000000
DS-M80,"Leavitt St East Bank (N), Southwest of DS-M80",TG1,NBCR Lower (NSC Confluence),Stickney,2016-04-28 05:33:00,2016-04-28 05:36:00,0 days 00:02:52.000000000
DS-N12,Caldwell Ave & Touhy Ave (Harts Rd & Touhy Ave) (E),TG1,NBCR Upper (NSC Confluence),Stickney,2016-04-28 01:41:00,2016-04-28 05:46:00,0 days 04:05:04.000000000
DS-M80,"Leavitt St East Bank (N), Southwest of DS-M80",TG1,NBCR Lower (NSC Confluence),Stickney,2016-04-28 05:39:00,2016-04-28 06:00:00,0 days 00:21:12.000000000
DS-M19,California Ave (S),TG2,CSSC Upper (SWRP),Stickney,2016-04-28 03:20:00,2016-04-28 06:29:00,0 days 03:08:36.000000000
DS-M19,California Ave (S),TG2,CSSC Upper (SWRP),Stickney,2016-04-28 06:30:00,2016-04-28 06:38:00,0 days 00:07:56.000000000
DS-M19,California Ave (S),TG2,CSSC Upper (SWRP),Stickney,2016-04-28 06:39:00,2016-04-28 06:44:00,0 days 00:05:00.000000000
DS-M79,Logan Blvd (W),TG2,NBCR Lower (NSC Confluence),Stickney,2016-04-28 01:23:00,2016-04-28 06:46:00,0 days 05:23:08.000000000
DS-M79,Logan Blvd (W),TG2,NBCR Lower (NSC Confluence),Stickney,2016-04-28 06:46:00,2016-04-28 06:49:00,0 days 00:02:52.000000000
DS-M79,Logan Blvd (W),TG2,NBCR Lower (NSC Confluence),Stickney,2016-04-28 06:51:00,2016-04-28 06:52:00,0 days 00:00:44.000000000
DS-M21,Western Ave (S),TG2,CSSC Upper (SWRP),Stickney,2016-04-28 01:55:00,2016-04-28 06:56:00,0 days 05:00:32.000000000
DS-M21,Western Ave (S),TG2,CSSC Upper (SWRP),Stickney,2016-04-28 07:01:00,2016-04-28 07:10:00,0 days 00:09:04.000000000
DS-M19,California Ave (S),TG2,CSSC Upper (SWRP),Stickney,2016-04-28 07:07:00,2016-04-28 07:12:00,0 days 00:04:24.000000000
DS-M21,Western Ave (S),TG1,CSSC Upper (SWRP),Stickney,2016-04-28 01:54:00,2016-04-28 07:15:00,0 days 05:21:28.000000000
DS-M106E,Lake St (E),TG1,NSC Upper (NSWRP),Stickney,2016-04-28 02:25:00,2016-04-28 07:20:00,0 days 04:54:46.000000000
DS-M11,"Imhoff Tank Stickney WRP, 54th Ct near Lorel Ave (West Side)",TG2,CSSC Upper (SWRP),Stickney,2016-04-27 21:03:00,2016-04-28 07:21:00,0 days 10:17:12.000000000
DS-M109N,Green Bay Rd & McCormick (W),TG1,NSC Upper (NSWRP),Stickney,2016-04-28 02:12:00,2016-04-28 07:25:00,0 days 05:13:18.000000000
