crcw,date_raw,obrien,start_date,total,wilmette,year
997.5,6/15-16/2015,0.0,2015-06-15,1164.7,167.2,2015
362.0,6/30-7/1/14,0.0,2014-06-30,525.0,163.0,2014
6104.7,4/18-19/13 ,3185.6,2013-04-18,10719.5,1429.2,2013
1716.2,7/24/2011 ,0.0,2011-07-24,2220.5,504.3,2011
0.0,5/29/2011 ,0.0,2011-05-29,107.0,107.0,2011
5784.6,7/24/2010 ,0.0,2010-07-24,6534.9,750.3,2010
0.0,6/19/2009,0.0,2009-06-19,191.6,191.6,2009
0.0,3/8/2009,0.0,2009-03-08,143.1,143.1,2009
0.0,2/26-27/09 ,0.0,2009-02-26,78.9,78.9,2009
0.0,12/27-28/08,0.0,2008-12-27,460.8,460.8,2008
5438.2,9/13-16/08 ,2669.2,2008-09-13,11049.1,2941.7,2008
0.0,8/23-24/07,0.0,2007-08-23,224.0,224.0,2007
1296.4,8/22/2002 ,0.0,2002-08-22,1751.8,455.4,2002
0.0,10/13/2001 ,0.0,2001-10-13,90.7,90.7,2001
0.0,8/31/2001,0.0,2001-08-31,75.3,75.3,2001
883.1,8/2/2001 ,0.0,2001-08-02,1023.0,139.9,2001
0.0,6/13/1999 ,0.0,1999-06-13,9.7,9.7,1999
402.0,8/16-8/17/97,0.0,1997-08-16,559.0,157.0,1997
1947.0,2/20-2/22/97 ,1458.0,1997-02-20,4179.0,774.0,1997
519.0,7/17-7/18/96 ,1032.0,1996-07-17,1551.0,0.0,1996
86.0,11/27-11/28/90,224.0,1990-11-27,464.0,154.0,1990
0.0,8/17-8/18/90,0.0,1990-08-17,9.5,9.5,1990
208.0,5/9-5/10/90,0.0,1990-05-09,497.0,289.0,1990
0.0,8/3-8/4/89,0.0,1989-08-03,52.0,52.0,1989
0.0,8/25-8/26/87 ,0.0,1987-08-25,18.0,18.0,1987
986.0,8/13-8/14/87 ,0.0,1987-08-13,1957.0,971.0,1987
0.0,10/3/1986,0.0,1986-10-03,53.0,53.0,1986
0.0,8/6/1985,0.0,1985-08-06,58.0,58.0,1985
0.0,3/4/1985,0.0,1985-03-04,153.3,153.3,1985
