Outfall Structure,Outfall Location,Tide Gate #,Waterway Reach,Plant,Open date/time,Close date/time,Gate Open Period
DS-N05,"Forest Glen Ave (S), West of Cicero",TG1,NBCR Upper (NSC Confluence),Stickney,4/1/2016 17:54,4/1/2016 23:07,:05:13:48
DS-N08,Mango Ave ext. (Leonard & Miltmore) (W),TG1,NBCR Upper (NSC Confluence),Stickney,4/1/2016 17:53,4/1/2016 19:42,:01:48:55
DS-N10B,Imlay St & Milwaukee (W),TG1,NBCR Upper (NSC Confluence),Stickney,4/1/2016 18:10,4/1/2016 18:26,:00:16:08
DS-N08,Mango Ave ext. (Leonard & Miltmore) (W),TG1,NBCR Upper (NSC Confluence),Stickney,4/1/2016 17:53,4/1/2016 19:42,:01:48:55
DS-N05,"Forest Glen Ave (S), West of Cicero",TG1,NBCR Upper (NSC Confluence),Stickney,4/1/2016 17:54,4/1/2016 23:07,:05:13:48
DS-N05,"Forest Glen Ave (S), West of Cicero",TG1,NBCR Upper (NSC Confluence),Stickney,4/2/2016 10:17,4/2/2016 10:20,:00:02:48
DS-N05,"Forest Glen Ave (S), West of Cicero",TG1,NBCR Upper (NSC Confluence),Stickney,4/2/2016 10:44,4/2/2016 11:58,:01:13:52
DS-N05,"Forest Glen Ave (S), West of Cicero",TG1,NBCR Upper (NSC Confluence),Stickney,4/2/2016 15:40,4/2/2016 22:10,:06:30:32
DS-N05,"Forest Glen Ave (S), West of Cicero",TG1,NBCR Upper (NSC Confluence),Stickney,4/6/2016 5:14,4/6/2016 6:59,:01:44:52
DS-M84,Roscoe St (W),TG4,NBCR Lower (NSC Confluence),Stickney,4/6/2016 11:48,4/6/2016 13:19,:01:31:00
DS-M79,Logan Blvd (W),TG2,NBCR Lower (NSC Confluence),Stickney,4/6/2016 11:21,4/6/2016 13:45,:02:23:56
DS-M79,Logan Blvd (W),TG2,NBCR Lower (NSC Confluence),Stickney,4/6/2016 13:59,4/6/2016 14:00,:00:00:44
DS-N08,Mango Ave ext. (Leonard & Miltmore) (W),TG1,NBCR Upper (NSC Confluence),Stickney,4/6/2016 11:33,4/6/2016 14:17,:02:43:24
DS-M79,Logan Blvd (W),TG2,NBCR Lower (NSC Confluence),Stickney,4/6/2016 14:34,4/6/2016 14:35,:00:00:48
DS-M84,Roscoe St (W),TG2,NBCR Lower (NSC Confluence),Stickney,4/6/2016 11:51,4/6/2016 14:36,:02:44:52
DS-M79,Logan Blvd (W),TG2,NBCR Lower (NSC Confluence),Stickney,4/6/2016 14:57,4/6/2016 14:59,:00:01:32
DS-M79,Logan Blvd (W),TG2,NBCR Lower (NSC Confluence),Stickney,4/6/2016 16:14,4/6/2016 16:15,:00:00:44
DS-N05,"Forest Glen Ave (S), West of Cicero",TG1,NBCR Upper (NSC Confluence),Stickney,4/6/2016 9:11,4/6/2016 16:29,:07:17:24
DS-M15,Kenton Ave (Kostner Ave Ext.) (N),TG2,CSSC Upper (SWRP),Stickney,4/6/2016 11:41,4/6/2016 16:30,:04:49:28
DS-M03,67th St ext. (E),TG1,CSSC Lower (SWRP),Stickney,4/6/2016 19:15,4/6/2016 21:15,:02:00:20
DS-M03,67th St ext. (E),TG1,CSSC Lower (SWRP),Stickney,4/6/2016 21:16,4/6/2016 21:18,:00:02:20
